time,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,yvonne
2015-04-24 15:53:51,0,0,0,0
2015-04-24 15:53:52,2,0,0,0
2015-04-24 15:53:53,2,0,0,0
2015-04-24 15:53:54,2,0,0,0
2015-04-24 15:53:55,2,0,0,0
2015-04-24 15:53:56,2,2,0,0
2015-04-24 15:53:57,0,4,0,0
2015-04-24 15:53:58,0,4,0,0
2015-04-24 15:53:59,0,7,2,0
2015-04-24 15:54:00,0,7,2,0
2015-04-24 15:54:01,2,8,1,0
2015-04-24 15:54:02,2,8,3,2
2015-04-24 15:54:03,2,8,3,2
2015-04-24 15:54:04,2,7,8,5
2015-04-24 15:54:05,1,7,7,5
2015-04-24 15:54:06,1,4,7,5
2015-04-24 15:54:07,1,4,7,5
2015-04-24 15:54:08,1,4,7,2
2015-04-24 15:54:09,1,4,7,2
2015-04-24 15:54:10,1,4,4,2
2015-04-24 15:54:11,1,7,4,2
2015-04-24 15:54:12,1,7,4,2
2015-04-24 15:54:13,1,3,4,2
2015-04-24 15:54:14,1,3,7,2
2015-04-24 15:54:15,1,3,7,2
2015-04-24 15:54:16,1,2,8,2
2015-04-24 15:54:17,1,2,8,2
2015-04-24 15:54:18,1,3,1,2
2015-04-24 15:54:19,1,3,1,2
2015-04-24 15:54:20,1,3,1,2
2015-04-24 15:54:21,1,3,1,2
2015-04-24 15:54:22,1,4,3,2
2015-04-24 15:54:23,3,4,3,2
2015-04-24 15:54:24,3,7,4,2
2015-04-24 15:54:25,3,7,6,8
2015-04-24 15:54:26,3,4,4,4
2015-04-24 15:54:27,7,4,4,4
2015-04-24 15:54:28,7,4,4,6
2015-04-24 15:54:29,7,4,7,8
2015-04-24 15:54:30,7,4,7,8
2015-04-24 15:54:31,7,4,7,8
2015-04-24 15:54:32,7,4,7,8
2015-04-24 15:54:33,7,3,7,7
2015-04-24 15:54:34,4,2,4,7
2015-04-24 15:54:35,8,2,4,7
2015-04-24 15:54:36,2,1,3,7
2015-04-24 15:54:37,2,1,3,7
2015-04-24 15:54:38,2,1,3,7
2015-04-24 15:54:39,2,3,3,7
2015-04-24 15:54:40,2,3,3,7
2015-04-24 15:54:41,2,8,3,8
2015-04-24 15:54:42,2,8,3,8
2015-04-24 15:54:43,2,8,3,8
2015-04-24 15:54:44,2,8,3,8
2015-04-24 15:54:45,2,8,7,8
2015-04-24 15:54:46,2,8,3,8
2015-04-24 15:54:47,2,8,8,8
2015-04-24 15:54:48,2,8,3,8
2015-04-24 15:54:49,2,8,3,6
2015-04-24 15:54:50,1,8,3,6
2015-04-24 15:54:51,1,8,3,6
2015-04-24 15:54:52,1,8,3,6
2015-04-24 15:54:53,1,8,3,6
2015-04-24 15:54:54,1,8,8,8
2015-04-24 15:54:55,1,8,8,8
2015-04-24 15:54:56,1,7,2,8
2015-04-24 15:54:57,1,7,8,8
2015-04-24 15:54:58,1,7,8,8
2015-04-24 15:54:59,1,7,3,8
2015-04-24 15:55:00,1,7,3,8
2015-04-24 15:55:01,1,7,8,8
2015-04-24 15:55:02,1,7,8,8
2015-04-24 15:55:03,1,7,7,3
2015-04-24 15:55:04,1,4,4,3
2015-04-24 15:55:05,1,4,8,3
2015-04-24 15:55:06,3,3,7,4
2015-04-24 15:55:07,3,3,2,0
2015-04-24 15:55:08,4,1,2,2
2015-04-24 15:55:09,4,1,2,2
2015-04-24 15:55:10,4,1,2,2
2015-04-24 15:55:11,4,1,2,2
2015-04-24 15:55:12,4,1,1,6
2015-04-24 15:55:13,4,1,1,6
2015-04-24 15:55:14,4,1,3,6
2015-04-24 15:55:15,4,1,3,6
2015-04-24 15:55:16,4,1,3,7
2015-04-24 15:55:17,4,1,7,7
2015-04-24 15:55:18,4,1,8,7
2015-04-24 15:55:19,7,1,8,4
2015-04-24 15:55:20,4,1,7,4
2015-04-24 15:55:21,4,1,7,8
2015-04-24 15:55:22,3,1,4,4
2015-04-24 15:55:23,1,1,4,4
2015-04-24 15:55:24,1,3,8,4
2015-04-24 15:55:25,1,3,8,2
2015-04-24 15:55:26,1,4,8,3
2015-04-24 15:55:27,3,4,2,3
2015-04-24 15:55:28,1,4,2,3
2015-04-24 15:55:29,1,8,2,1
2015-04-24 15:55:30,1,8,2,1
2015-04-24 15:55:31,1,8,2,1
2015-04-24 15:55:32,1,3,2,1
2015-04-24 15:55:33,1,3,2,1
2015-04-24 15:55:34,1,3,1,1
2015-04-24 15:55:35,1,1,2,1
2015-04-24 15:55:36,1,1,5,1
2015-04-24 15:55:37,1,1,1,1
2015-04-24 15:55:38,1,1,1,1
2015-04-24 15:55:39,1,1,2,1
2015-04-24 15:55:40,1,1,2,1
2015-04-24 15:55:41,1,3,2,1
2015-04-24 15:55:42,1,3,2,1
2015-04-24 15:55:43,1,3,0,1
2015-04-24 15:55:44,1,3,0,1
2015-04-24 15:55:45,1,3,0,8
2015-04-24 15:55:46,1,3,0,8
