time,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B,yvonne,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-04-24 16:04:14,0,0,0,0
2015-04-24 16:04:15,2,0,0,0
2015-04-24 16:04:16,2,0,0,0
2015-04-24 16:04:17,2,5,2,0
2015-04-24 16:04:18,2,7,2,0
2015-04-24 16:04:19,2,7,2,2
2015-04-24 16:04:20,7,5,2,2
2015-04-24 16:04:21,7,5,2,2
2015-04-24 16:04:22,7,5,2,2
2015-04-24 16:04:23,7,7,2,2
2015-04-24 16:04:24,7,7,2,2
2015-04-24 16:04:25,2,5,5,4
2015-04-24 16:04:26,2,7,2,4
2015-04-24 16:04:27,2,7,2,4
2015-04-24 16:04:28,7,7,2,4
2015-04-24 16:04:29,7,7,2,4
2015-04-24 16:04:30,6,7,2,4
2015-04-24 16:04:31,8,7,2,4
2015-04-24 16:04:32,6,7,2,4
2015-04-24 16:04:33,2,7,2,4
2015-04-24 16:04:34,2,7,2,4
2015-04-24 16:04:35,3,7,2,4
2015-04-24 16:04:36,2,7,2,4
2015-04-24 16:04:37,2,7,2,4
2015-04-24 16:04:38,3,7,2,4
2015-04-24 16:04:39,5,7,2,4
2015-04-24 16:04:40,5,7,2,4
2015-04-24 16:04:41,5,7,2,4
2015-04-24 16:04:42,8,7,2,4
2015-04-24 16:04:43,5,8,2,4
2015-04-24 16:04:44,5,7,2,4
2015-04-24 16:04:45,2,8,2,4
2015-04-24 16:04:46,5,8,2,4
2015-04-24 16:04:47,5,8,2,4
2015-04-24 16:04:48,5,8,2,4
2015-04-24 16:04:49,5,8,2,4
2015-04-24 16:04:50,5,8,2,4
2015-04-24 16:04:51,2,8,2,4
2015-04-24 16:04:52,2,8,2,4
2015-04-24 16:04:53,2,8,2,4
2015-04-24 16:04:54,2,8,2,4
2015-04-24 16:04:55,2,8,2,4
2015-04-24 16:04:56,2,8,2,4
2015-04-24 16:04:57,2,8,2,4
2015-04-24 16:04:58,2,8,2,4
2015-04-24 16:04:59,2,8,2,4
2015-04-24 16:05:00,2,8,2,4
2015-04-24 16:05:01,2,8,2,4
2015-04-24 16:05:02,2,8,2,4
2015-04-24 16:05:03,2,8,2,2
2015-04-24 16:05:04,2,8,2,4
2015-04-24 16:05:05,2,8,2,4
2015-04-24 16:05:06,2,8,2,4
2015-04-24 16:05:07,2,7,2,4
2015-04-24 16:05:08,2,8,2,4
2015-04-24 16:05:09,2,8,2,4
2015-04-24 16:05:10,2,8,2,4
2015-04-24 16:05:11,2,8,2,4
2015-04-24 16:05:12,2,8,2,4
2015-04-24 16:05:13,2,2,2,4
2015-04-24 16:05:14,2,8,2,4
2015-04-24 16:05:15,2,8,2,4
2015-04-24 16:05:16,2,8,5,7
2015-04-24 16:05:17,2,8,5,6
2015-04-24 16:05:18,2,8,5,6
2015-04-24 16:05:19,4,8,6,6
2015-04-24 16:05:20,3,4,8,6
2015-04-24 16:05:21,3,8,2,6
2015-04-24 16:05:22,3,8,2,6
2015-04-24 16:05:23,3,4,2,6
2015-04-24 16:05:24,3,8,2,6
2015-04-24 16:05:25,2,8,2,6
2015-04-24 16:05:26,2,8,2,6
2015-04-24 16:05:27,2,8,2,6
2015-04-24 16:05:28,2,8,2,6
2015-04-24 16:05:29,2,8,2,6
2015-04-24 16:05:30,2,4,2,7
2015-04-24 16:05:31,2,8,2,4
2015-04-24 16:05:32,2,8,2,4
2015-04-24 16:05:33,2,8,5,4
2015-04-24 16:05:34,2,8,2,7
2015-04-24 16:05:35,2,8,2,7
2015-04-24 16:05:36,2,8,5,6
2015-04-24 16:05:37,2,8,5,6
2015-04-24 16:05:38,2,8,2,7
2015-04-24 16:05:39,2,8,2,7
2015-04-24 16:05:40,2,8,2,4
2015-04-24 16:05:41,2,8,2,3
2015-04-24 16:05:42,2,8,2,3
2015-04-24 16:05:43,2,8,2,2
2015-04-24 16:05:44,2,8,2,1
2015-04-24 16:05:45,2,8,2,1
2015-04-24 16:05:46,2,8,2,1
2015-04-24 16:05:47,2,8,2,1
2015-04-24 16:05:48,2,8,2,2
2015-04-24 16:05:49,2,8,2,3
2015-04-24 16:05:50,2,8,2,4
2015-04-24 16:05:51,2,8,2,4
2015-04-24 16:05:52,2,8,2,4
2015-04-24 16:05:53,2,8,2,4
2015-04-24 16:05:54,2,8,2,4
2015-04-24 16:05:55,2,8,2,4
2015-04-24 16:05:56,2,5,2,2
2015-04-24 16:05:57,2,8,2,2
2015-04-24 16:05:58,2,8,2,2
2015-04-24 16:05:59,2,8,2,2
2015-04-24 16:06:00,2,3,2,1
2015-04-24 16:06:01,2,3,2,1
2015-04-24 16:06:02,2,8,2,3
2015-04-24 16:06:03,2,8,2,3
2015-04-24 16:06:04,2,8,2,3
2015-04-24 16:06:05,8,8,2,4
2015-04-24 16:06:06,8,8,4,4
2015-04-24 16:06:07,8,8,4,4
2015-04-24 16:06:08,8,3,4,4
2015-04-24 16:06:09,8,3,4,4
2015-04-24 16:06:10,8,3,7,4
2015-04-24 16:06:11,8,1,7,4
2015-04-24 16:06:12,8,1,7,3
2015-04-24 16:06:13,8,1,4,8
2015-04-24 16:06:14,8,1,4,8
2015-04-24 16:06:15,8,1,4,8
2015-04-24 16:06:16,8,1,4,8
2015-04-24 16:06:17,8,1,7,4
2015-04-24 16:06:18,8,1,7,4
2015-04-24 16:06:19,8,1,4,4
2015-04-24 16:06:20,8,1,4,4
2015-04-24 16:06:21,8,1,4,4
2015-04-24 16:06:22,8,2,2,7
2015-04-24 16:06:23,8,2,2,4
2015-04-24 16:06:24,8,2,2,4
2015-04-24 16:06:25,2,2,2,3
2015-04-24 16:06:26,2,2,2,1
2015-04-24 16:06:27,3,2,2,1
2015-04-24 16:06:28,3,2,3,1
2015-04-24 16:06:29,3,2,3,1
2015-04-24 16:06:30,3,2,3,1
2015-04-24 16:06:31,1,2,3,1
2015-04-24 16:06:32,2,1,3,1
2015-04-24 16:06:33,2,2,3,1
2015-04-24 16:06:34,2,2,3,1
2015-04-24 16:06:35,2,2,1,1
2015-04-24 16:06:36,2,2,1,1
2015-04-24 16:06:37,2,1,3,1
2015-04-24 16:06:38,2,1,3,1
2015-04-24 16:06:39,2,1,1,1
2015-04-24 16:06:40,2,1,1,1
2015-04-24 16:06:41,2,1,1,1
2015-04-24 16:06:42,2,1,1,1
2015-04-24 16:06:43,2,1,1,1
2015-04-24 16:06:44,2,1,1,3
2015-04-24 16:06:45,2,1,3,3
2015-04-24 16:06:46,2,1,1,4
2015-04-24 16:06:47,2,1,1,3
2015-04-24 16:06:48,5,1,1,3
2015-04-24 16:06:49,8,1,1,3
2015-04-24 16:06:50,8,1,1,3
2015-04-24 16:06:51,6,1,1,3
2015-04-24 16:06:52,6,1,3,6
2015-04-24 16:06:53,6,2,2,6
2015-04-24 16:06:54,2,2,0,6
2015-04-24 16:06:55,5,3,0,6
2015-04-24 16:06:56,6,1,0,6
2015-04-24 16:06:57,7,1,0,8
2015-04-24 16:06:58,7,1,0,8
2015-04-24 16:06:59,7,1,2,8
2015-04-24 16:07:00,7,1,2,8
2015-04-24 16:07:01,7,2,2,8
2015-04-24 16:07:02,4,2,2,8
2015-04-24 16:07:03,0,1,2,8
2015-04-24 16:07:04,2,1,2,8
2015-04-24 16:07:05,2,2,2,8
2015-04-24 16:07:06,2,1,2,8
2015-04-24 16:07:07,2,1,2,8
2015-04-24 16:07:08,2,2,2,8
2015-04-24 16:07:09,2,1,2,8
2015-04-24 16:07:10,2,1,2,8
2015-04-24 16:07:11,2,2,2,8
2015-04-24 16:07:12,2,2,2,8
2015-04-24 16:07:13,2,2,2,8
2015-04-24 16:07:14,2,2,2,8
2015-04-24 16:07:15,2,2,2,8
2015-04-24 16:07:16,2,2,2,8
2015-04-24 16:07:17,2,2,2,8
2015-04-24 16:07:18,2,2,1,8
2015-04-24 16:07:19,2,1,1,8
2015-04-24 16:07:20,2,1,1,8
2015-04-24 16:07:21,0,1,1,8
2015-04-24 16:07:22,2,1,1,8
2015-04-24 16:07:23,2,1,1,8
2015-04-24 16:07:24,2,2,2,3
2015-04-24 16:07:25,2,1,2,3
2015-04-24 16:07:26,1,2,2,3
2015-04-24 16:07:27,1,1,3,3
2015-04-24 16:07:28,1,1,3,2
2015-04-24 16:07:29,1,1,3,1
2015-04-24 16:07:30,1,1,3,1
2015-04-24 16:07:31,1,1,3,1
2015-04-24 16:07:32,1,1,3,1
2015-04-24 16:07:33,1,2,3,1
