time,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,yvonne,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-04-24 16:14:33,0,0,0,0
2015-04-24 16:14:34,2,0,0,0
2015-04-24 16:14:35,1,0,0,0
2015-04-24 16:14:36,1,0,0,0
2015-04-24 16:14:37,1,0,0,0
2015-04-24 16:14:38,1,0,0,0
2015-04-24 16:14:39,1,2,0,0
2015-04-24 16:14:40,1,2,0,0
2015-04-24 16:14:41,1,2,0,0
2015-04-24 16:14:42,1,2,2,0
2015-04-24 16:14:43,1,2,2,0
2015-04-24 16:14:44,1,1,2,0
2015-04-24 16:14:45,1,1,2,0
2015-04-24 16:14:46,1,1,2,0
2015-04-24 16:14:47,1,1,2,0
2015-04-24 16:14:48,1,1,2,0
2015-04-24 16:14:49,1,1,2,2
2015-04-24 16:14:50,1,1,2,2
2015-04-24 16:14:51,1,1,2,2
2015-04-24 16:14:52,1,2,2,2
2015-04-24 16:14:53,1,3,2,2
2015-04-24 16:14:54,1,3,2,2
2015-04-24 16:14:55,1,4,2,2
2015-04-24 16:14:56,1,4,2,0
2015-04-24 16:14:57,1,4,1,0
2015-04-24 16:14:58,1,4,1,0
2015-04-24 16:14:59,1,4,1,0
2015-04-24 16:15:00,1,7,1,0
2015-04-24 16:15:01,1,4,1,0
2015-04-24 16:15:02,1,4,1,0
2015-04-24 16:15:03,1,3,1,0
2015-04-24 16:15:04,1,3,3,0
2015-04-24 16:15:05,1,3,7,0
2015-04-24 16:15:06,2,2,7,0
2015-04-24 16:15:07,1,2,7,0
2015-04-24 16:15:08,1,3,3,2
2015-04-24 16:15:09,1,3,3,2
2015-04-24 16:15:10,1,3,1,1
2015-04-24 16:15:11,1,4,1,1
2015-04-24 16:15:12,1,7,1,1
2015-04-24 16:15:13,1,4,1,1
2015-04-24 16:15:14,1,4,1,1
2015-04-24 16:15:15,1,3,1,1
2015-04-24 16:15:16,1,3,1,1
2015-04-24 16:15:17,1,2,1,1
2015-04-24 16:15:18,1,1,1,1
2015-04-24 16:15:19,1,1,1,1
2015-04-24 16:15:20,1,1,1,1
2015-04-24 16:15:21,1,1,1,1
2015-04-24 16:15:22,1,1,1,1
2015-04-24 16:15:23,1,1,1,1
2015-04-24 16:15:24,1,3,1,1
2015-04-24 16:15:25,3,3,1,1
2015-04-24 16:15:26,7,7,1,1
2015-04-24 16:15:27,7,7,1,2
2015-04-24 16:15:28,7,7,2,2
2015-04-24 16:15:29,7,8,2,2
2015-04-24 16:15:30,7,8,2,2
2015-04-24 16:15:31,7,8,2,2
2015-04-24 16:15:32,7,8,2,2
2015-04-24 16:15:33,7,8,2,2
2015-04-24 16:15:34,7,8,2,2
2015-04-24 16:15:35,7,8,2,2
2015-04-24 16:15:36,7,8,2,2
2015-04-24 16:15:37,7,8,1,2
2015-04-24 16:15:38,7,8,3,2
2015-04-24 16:15:39,7,8,3,2
2015-04-24 16:15:40,4,8,4,2
2015-04-24 16:15:41,6,8,7,2
2015-04-24 16:15:42,7,8,6,2
2015-04-24 16:15:43,6,8,6,1
2015-04-24 16:15:44,7,8,6,3
2015-04-24 16:15:45,7,8,6,3
2015-04-24 16:15:46,7,4,7,8
2015-04-24 16:15:47,4,7,4,8
2015-04-24 16:15:48,4,7,4,8
2015-04-24 16:15:49,7,7,4,8
2015-04-24 16:15:50,6,7,4,0
2015-04-24 16:15:51,6,7,4,0
2015-04-24 16:15:52,7,7,4,0
2015-04-24 16:15:53,7,7,3,0
2015-04-24 16:15:54,7,7,3,0
2015-04-24 16:15:55,8,4,3,8
2015-04-24 16:15:56,8,4,4,8
2015-04-24 16:15:57,8,3,4,7
2015-04-24 16:15:58,3,3,8,7
2015-04-24 16:15:59,7,2,8,7
2015-04-24 16:16:00,7,2,8,7
2015-04-24 16:16:01,7,2,8,7
