time,yvonne,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-04-24 16:23:02,0,0,0,0
2015-04-24 16:23:03,2,0,0,0
2015-04-24 16:23:04,2,0,0,0
2015-04-24 16:23:05,2,0,0,0
2015-04-24 16:23:06,2,0,0,0
2015-04-24 16:23:07,2,0,0,0
2015-04-24 16:23:08,2,4,2,0
2015-04-24 16:23:09,2,4,2,2
2015-04-24 16:23:10,2,4,2,2
2015-04-24 16:23:11,2,4,2,2
2015-04-24 16:23:12,2,4,2,2
2015-04-24 16:23:13,2,4,2,2
2015-04-24 16:23:14,2,4,2,1
2015-04-24 16:23:15,2,4,2,2
2015-04-24 16:23:16,2,4,2,2
2015-04-24 16:23:17,2,4,2,2
2015-04-24 16:23:18,1,4,2,2
2015-04-24 16:23:19,1,4,2,2
2015-04-24 16:23:20,1,4,2,2
2015-04-24 16:23:21,1,4,2,2
2015-04-24 16:23:22,1,4,2,2
2015-04-24 16:23:23,8,4,2,2
2015-04-24 16:23:24,7,7,2,2
2015-04-24 16:23:25,7,7,2,2
2015-04-24 16:23:26,7,7,2,2
2015-04-24 16:23:27,7,7,2,2
2015-04-24 16:23:28,4,7,2,2
2015-04-24 16:23:29,4,7,2,2
2015-04-24 16:23:30,3,4,2,2
2015-04-24 16:23:31,3,4,2,2
2015-04-24 16:23:32,2,4,2,2
2015-04-24 16:23:33,3,4,2,1
2015-04-24 16:23:34,4,4,2,1
2015-04-24 16:23:35,4,4,3,1
2015-04-24 16:23:36,4,4,3,1
2015-04-24 16:23:37,4,4,4,1
2015-04-24 16:23:38,4,4,4,1
2015-04-24 16:23:39,4,4,4,1
2015-04-24 16:23:40,4,4,4,1
2015-04-24 16:23:41,4,6,4,1
2015-04-24 16:23:42,4,6,4,1
2015-04-24 16:23:43,3,7,4,1
2015-04-24 16:23:44,3,7,4,1
2015-04-24 16:23:45,2,7,3,1
2015-04-24 16:23:46,1,7,3,1
2015-04-24 16:23:47,1,4,1,1
2015-04-24 16:23:48,1,4,1,1
2015-04-24 16:23:49,1,3,1,1
2015-04-24 16:23:50,1,3,1,1
2015-04-24 16:23:51,1,1,1,1
2015-04-24 16:23:52,1,1,1,1
2015-04-24 16:23:53,1,3,1,1
2015-04-24 16:23:54,1,3,1,1
2015-04-24 16:23:55,1,3,1,1
2015-04-24 16:23:56,1,3,3,1
2015-04-24 16:23:57,1,3,3,1
2015-04-24 16:23:58,1,3,1,1
2015-04-24 16:23:59,1,1,8,1
2015-04-24 16:24:00,1,1,8,1
2015-04-24 16:24:01,1,1,8,1
2015-04-24 16:24:02,1,1,8,1
2015-04-24 16:24:03,1,1,8,1
2015-04-24 16:24:04,1,1,3,1
2015-04-24 16:24:05,1,1,3,1
2015-04-24 16:24:06,1,1,8,1
2015-04-24 16:24:07,1,1,8,1
2015-04-24 16:24:08,1,1,8,1
2015-04-24 16:24:09,1,1,8,1
2015-04-24 16:24:10,1,1,8,1
2015-04-24 16:24:11,1,1,8,1
2015-04-24 16:24:12,1,1,8,1
2015-04-24 16:24:13,1,1,8,1
2015-04-24 16:24:14,1,3,8,1
2015-04-24 16:24:15,1,4,1,1
2015-04-24 16:24:16,1,4,1,1
2015-04-24 16:24:17,1,6,1,3
2015-04-24 16:24:18,1,7,1,7
2015-04-24 16:24:19,1,7,1,7
2015-04-24 16:24:20,1,7,1,8
2015-04-24 16:24:21,1,7,1,7
2015-04-24 16:24:22,1,7,3,7
2015-04-24 16:24:23,2,6,3,7
2015-04-24 16:24:24,3,6,7,7
2015-04-24 16:24:25,4,6,7,7
2015-04-24 16:24:26,4,4,7,7
2015-04-24 16:24:27,4,4,4,7
2015-04-24 16:24:28,4,4,4,7
2015-04-24 16:24:29,4,3,4,7
2015-04-24 16:24:30,4,2,4,7
2015-04-24 16:24:31,4,2,4,7
2015-04-24 16:24:32,4,2,4,7
2015-04-24 16:24:33,4,1,4,7
2015-04-24 16:24:34,4,1,7,7
2015-04-24 16:24:35,4,1,4,7
2015-04-24 16:24:36,0,1,3,7
2015-04-24 16:24:37,0,3,1,7
2015-04-24 16:24:38,2,3,1,7
2015-04-24 16:24:39,2,3,1,7
2015-04-24 16:24:40,2,4,1,7
2015-04-24 16:24:41,2,4,1,7
2015-04-24 16:24:42,2,3,1,7
2015-04-24 16:24:43,0,3,1,7
2015-04-24 16:24:44,0,1,1,7
2015-04-24 16:24:45,2,1,1,7
2015-04-24 16:24:46,7,1,1,7
2015-04-24 16:24:47,7,1,1,7
2015-04-24 16:24:48,8,1,1,7
2015-04-24 16:24:49,7,1,1,7
2015-04-24 16:24:50,7,3,1,7
2015-04-24 16:24:51,7,3,1,7
2015-04-24 16:24:52,7,7,1,7
2015-04-24 16:24:53,7,7,1,7
2015-04-24 16:24:54,7,7,1,7
2015-04-24 16:24:55,6,7,1,7
2015-04-24 16:24:56,6,7,1,7
2015-04-24 16:24:57,7,7,1,7
2015-04-24 16:24:58,7,7,1,7
2015-04-24 16:24:59,7,7,1,7
2015-04-24 16:25:00,7,7,8,7
2015-04-24 16:25:01,7,7,8,7
2015-04-24 16:25:02,7,4,8,7
2015-04-24 16:25:03,6,4,8,7
2015-04-24 16:25:04,6,3,8,7
2015-04-24 16:25:05,6,3,8,7
2015-04-24 16:25:06,6,3,8,7
2015-04-24 16:25:07,6,2,8,7
2015-04-24 16:25:08,6,2,8,7
2015-04-24 16:25:09,6,1,8,7
2015-04-24 16:25:10,4,2,7,7
2015-04-24 16:25:11,4,1,7,7
2015-04-24 16:25:12,6,2,7,7
2015-04-24 16:25:13,6,3,7,7
2015-04-24 16:25:14,6,3,7,7
2015-04-24 16:25:15,4,3,4,7
2015-04-24 16:25:16,7,4,4,7
2015-04-24 16:25:17,4,7,3,7
2015-04-24 16:25:18,4,7,1,7
2015-04-24 16:25:19,7,7,1,7
2015-04-24 16:25:20,7,7,1,8
2015-04-24 16:25:21,7,7,1,8
2015-04-24 16:25:22,7,8,1,8
2015-04-24 16:25:23,7,8,1,8
2015-04-24 16:25:24,7,8,1,8
