time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-04-29 17:54:52,0,0,0,0
2015-04-29 17:54:53,2,0,0,0
2015-04-29 17:54:54,2,0,0,0
2015-04-29 17:54:55,2,0,0,0
2015-04-29 17:54:56,2,2,0,0
2015-04-29 17:54:57,2,2,0,0
2015-04-29 17:54:58,2,2,6,0
2015-04-29 17:54:59,2,4,6,0
2015-04-29 17:55:00,2,4,6,2
2015-04-29 17:55:01,2,4,6,2
2015-04-29 17:55:02,2,4,6,2
2015-04-29 17:55:03,2,4,2,2
2015-04-29 17:55:04,2,4,2,2
2015-04-29 17:55:05,2,4,2,6
2015-04-29 17:55:06,2,4,2,6
2015-04-29 17:55:07,2,4,2,6
2015-04-29 17:55:08,2,4,0,6
2015-04-29 17:55:09,2,4,2,0
2015-04-29 17:55:10,2,4,2,0
2015-04-29 17:55:11,8,4,6,0
2015-04-29 17:55:12,4,4,4,0
2015-04-29 17:55:13,4,3,7,0
2015-04-29 17:55:14,4,2,7,0
2015-04-29 17:55:15,4,2,7,0
2015-04-29 17:55:16,4,2,7,8
2015-04-29 17:55:17,2,2,4,7
2015-04-29 17:55:18,2,2,2,7
2015-04-29 17:55:19,2,4,2,7
2015-04-29 17:55:20,2,4,2,7
2015-04-29 17:55:21,2,4,2,7
2015-04-29 17:55:22,2,4,2,7
2015-04-29 17:55:23,2,4,2,7
2015-04-29 17:55:24,2,4,2,7
2015-04-29 17:55:25,2,4,2,7
2015-04-29 17:55:26,2,6,2,7
2015-04-29 17:55:27,2,6,2,7
2015-04-29 17:55:28,2,6,2,7
2015-04-29 17:55:29,2,4,2,7
2015-04-29 17:55:30,2,4,2,7
2015-04-29 17:55:31,2,3,2,7
2015-04-29 17:55:32,2,3,2,6
2015-04-29 17:55:33,2,3,2,2
2015-04-29 17:55:34,2,3,0,6
2015-04-29 17:55:35,2,3,2,6
2015-04-29 17:55:36,2,3,2,6
2015-04-29 17:55:37,2,4,2,0
2015-04-29 17:55:38,2,4,2,6
2015-04-29 17:55:39,2,4,2,7
2015-04-29 17:55:40,2,4,2,7
2015-04-29 17:55:41,2,4,2,7
2015-04-29 17:55:42,2,4,2,7
2015-04-29 17:55:43,2,4,2,7
2015-04-29 17:55:44,2,4,2,7
2015-04-29 17:55:45,2,4,2,7
2015-04-29 17:55:46,2,4,2,7
2015-04-29 17:55:47,2,4,2,7
2015-04-29 17:55:48,2,4,2,7
2015-04-29 17:55:49,2,4,2,6
2015-04-29 17:55:50,2,3,0,6
2015-04-29 17:55:51,2,3,0,0
2015-04-29 17:55:52,2,3,0,0
2015-04-29 17:55:53,2,3,0,0
2015-04-29 17:55:54,2,3,0,0
2015-04-29 17:55:55,2,2,2,0
2015-04-29 17:55:56,8,4,5,0
2015-04-29 17:55:57,4,4,7,0
2015-04-29 17:55:58,4,4,8,0
2015-04-29 17:55:59,4,4,8,0
2015-04-29 17:56:00,4,6,8,5
2015-04-29 17:56:01,4,6,8,7
2015-04-29 17:56:02,4,6,8,7
2015-04-29 17:56:03,7,6,7,7
2015-04-29 17:56:04,7,6,7,7
2015-04-29 17:56:05,7,6,7,7
2015-04-29 17:56:06,7,6,7,7
2015-04-29 17:56:07,7,6,7,7
2015-04-29 17:56:08,7,6,7,7
2015-04-29 17:56:09,7,6,7,7
2015-04-29 17:56:10,7,6,7,7
2015-04-29 17:56:11,7,6,7,7
2015-04-29 17:56:12,7,6,7,7
2015-04-29 17:56:13,7,6,8,7
2015-04-29 17:56:14,7,6,7,7
2015-04-29 17:56:15,8,6,7,4
2015-04-29 17:56:16,7,6,7,4
2015-04-29 17:56:17,7,6,7,2
2015-04-29 17:56:18,4,4,7,2
2015-04-29 17:56:19,3,3,8,2
2015-04-29 17:56:20,4,3,8,2
2015-04-29 17:56:21,5,3,8,2
2015-04-29 17:56:22,8,3,8,2
2015-04-29 17:56:23,4,3,8,2
2015-04-29 17:56:24,8,3,8,2
2015-04-29 17:56:25,7,3,8,2
2015-04-29 17:56:26,7,4,8,2
2015-04-29 17:56:27,7,3,7,2
2015-04-29 17:56:28,7,3,4,2
2015-04-29 17:56:29,7,4,4,2
2015-04-29 17:56:30,7,3,4,2
2015-04-29 17:56:31,7,4,4,2
2015-04-29 17:56:32,4,4,4,2
2015-04-29 17:56:33,4,3,4,2
2015-04-29 17:56:34,4,4,4,2
2015-04-29 17:56:35,4,3,4,6
2015-04-29 17:56:36,4,3,4,2
2015-04-29 17:56:37,4,3,4,6
2015-04-29 17:56:38,4,3,4,6
2015-04-29 17:56:39,3,3,4,6
2015-04-29 17:56:40,3,3,4,6
2015-04-29 17:56:41,3,3,4,6
2015-04-29 17:56:42,3,3,3,2
2015-04-29 17:56:43,2,3,3,2
2015-04-29 17:56:44,2,3,4,2
2015-04-29 17:56:45,2,3,3,2
2015-04-29 17:56:46,2,3,3,2
2015-04-29 17:56:47,2,4,4,2
2015-04-29 17:56:48,2,4,3,2
2015-04-29 17:56:49,2,4,3,6
2015-04-29 17:56:50,1,4,3,6
2015-04-29 17:56:51,2,4,3,7
2015-04-29 17:56:52,2,4,3,7
2015-04-29 17:56:53,2,4,3,7
2015-04-29 17:56:54,2,4,3,7
2015-04-29 17:56:55,2,4,4,7
2015-04-29 17:56:56,2,2,3,7
2015-04-29 17:56:57,2,3,4,7
2015-04-29 17:56:58,2,3,3,7
2015-04-29 17:56:59,2,3,3,7
2015-04-29 17:57:00,2,4,3,7
2015-04-29 17:57:01,2,4,2,7
2015-04-29 17:57:02,2,4,2,7
2015-04-29 17:57:03,2,4,2,7
2015-04-29 17:57:04,5,4,2,7
2015-04-29 17:57:05,2,4,2,7
2015-04-29 17:57:06,5,4,2,7
2015-04-29 17:57:07,5,4,2,4
2015-04-29 17:57:08,5,4,2,0
2015-04-29 17:57:09,2,4,2,0
2015-04-29 17:57:10,3,4,2,2
2015-04-29 17:57:11,3,3,2,2
2015-04-29 17:57:12,5,3,2,2
2015-04-29 17:57:13,6,2,2,2
2015-04-29 17:57:14,6,2,2,2
2015-04-29 17:57:15,5,2,2,2
2015-04-29 17:57:16,3,2,2,2
2015-04-29 17:57:17,3,2,2,2
2015-04-29 17:57:18,3,2,2,6
2015-04-29 17:57:19,3,2,1,2
2015-04-29 17:57:20,6,2,3,2
2015-04-29 17:57:21,6,2,3,6
2015-04-29 17:57:22,5,3,3,6
2015-04-29 17:57:23,5,3,1,5
2015-04-29 17:57:24,5,3,1,5
2015-04-29 17:57:25,5,3,1,7
2015-04-29 17:57:26,3,3,1,7
2015-04-29 17:57:27,3,3,1,7
2015-04-29 17:57:28,6,3,1,7
2015-04-29 17:57:29,5,3,1,7
2015-04-29 17:57:30,5,3,1,6
2015-04-29 17:57:31,5,3,1,7
2015-04-29 17:57:32,5,3,1,7
2015-04-29 17:57:33,5,2,1,7
2015-04-29 17:57:34,2,2,1,7
2015-04-29 17:57:35,6,3,1,7
2015-04-29 17:57:36,6,2,1,7
2015-04-29 17:57:37,2,3,1,7
2015-04-29 17:57:38,1,3,1,7
2015-04-29 17:57:39,1,4,1,7
2015-04-29 17:57:40,1,4,1,7
2015-04-29 17:57:41,1,4,1,7
2015-04-29 17:57:42,1,4,1,7
2015-04-29 17:57:43,1,4,1,7
2015-04-29 17:57:44,1,4,1,7
2015-04-29 17:57:45,1,3,1,7
2015-04-29 17:57:46,1,3,1,7
2015-04-29 17:57:47,3,3,1,7
2015-04-29 17:57:48,3,3,1,7
2015-04-29 17:57:49,3,2,1,7
2015-04-29 17:57:50,4,2,8,4
2015-04-29 17:57:51,4,2,8,3
2015-04-29 17:57:52,4,2,8,2
2015-04-29 17:57:53,8,3,8,2
2015-04-29 17:57:54,8,3,8,2
2015-04-29 17:57:55,3,3,8,2
2015-04-29 17:57:56,3,3,8,2
2015-04-29 17:57:57,4,3,8,2
2015-04-29 17:57:58,4,3,8,3
2015-04-29 17:57:59,4,3,8,3
2015-04-29 17:58:00,4,4,8,3
2015-04-29 17:58:01,4,4,8,3
2015-04-29 17:58:02,4,3,8,3
2015-04-29 17:58:03,4,4,8,3
2015-04-29 17:58:04,7,3,8,3
2015-04-29 17:58:05,3,3,8,3
2015-04-29 17:58:06,3,3,8,4
2015-04-29 17:58:07,3,3,6,4
2015-04-29 17:58:08,3,3,8,4
2015-04-29 17:58:09,3,3,7,4
2015-04-29 17:58:10,3,1,8,4
2015-04-29 17:58:11,3,3,8,3
2015-04-29 17:58:12,3,3,8,3
2015-04-29 17:58:13,3,3,8,2
2015-04-29 17:58:14,3,3,8,2
2015-04-29 17:58:15,3,3,8,3
2015-04-29 17:58:16,3,3,8,3
2015-04-29 17:58:17,4,3,8,3
2015-04-29 17:58:18,3,3,8,3
2015-04-29 17:58:19,3,3,8,4
2015-04-29 17:58:20,3,3,8,4
2015-04-29 17:58:21,3,1,8,3
2015-04-29 17:58:22,3,1,8,1
2015-04-29 17:58:23,3,1,8,1
2015-04-29 17:58:24,1,1,8,3
2015-04-29 17:58:25,2,1,8,4
2015-04-29 17:58:26,2,1,8,4
2015-04-29 17:58:27,2,1,8,7
2015-04-29 17:58:28,2,1,8,7
2015-04-29 17:58:29,2,1,8,7
2015-04-29 17:58:30,2,3,8,4
2015-04-29 17:58:31,2,4,8,4
2015-04-29 17:58:32,2,4,7,4
2015-04-29 17:58:33,2,4,7,6
2015-04-29 17:58:34,2,4,7,8
2015-04-29 17:58:35,4,4,7,8
2015-04-29 17:58:36,4,2,8,3
2015-04-29 17:58:37,3,2,0,3
2015-04-29 17:58:38,2,2,0,4
2015-04-29 17:58:39,2,2,0,2
2015-04-29 17:58:40,2,2,0,2
2015-04-29 17:58:41,2,2,0,2
2015-04-29 17:58:42,2,2,0,5
2015-04-29 17:58:43,2,2,0,2
2015-04-29 17:58:44,2,2,0,2
2015-04-29 17:58:45,2,2,0,2
2015-04-29 17:58:46,2,2,0,8
2015-04-29 17:58:47,2,2,0,7
2015-04-29 17:58:48,2,2,0,7
2015-04-29 17:58:49,2,4,0,7
2015-04-29 17:58:50,2,4,0,7
2015-04-29 17:58:51,2,4,0,7
2015-04-29 17:58:52,2,4,0,7
2015-04-29 17:58:53,2,4,2,7
2015-04-29 17:58:54,2,4,2,7
2015-04-29 17:58:55,2,4,2,7
