time,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-04-29 18:25:14,0,0,0,0
2015-04-29 18:25:15,1,2,0,0
2015-04-29 18:25:16,1,2,0,0
2015-04-29 18:25:17,1,2,2,0
2015-04-29 18:25:18,1,2,2,2
2015-04-29 18:25:19,1,2,2,2
2015-04-29 18:25:20,0,2,2,2
2015-04-29 18:25:21,1,2,2,2
2015-04-29 18:25:22,2,2,2,2
2015-04-29 18:25:23,2,2,2,0
2015-04-29 18:25:24,2,2,2,2
2015-04-29 18:25:25,2,2,2,2
2015-04-29 18:25:26,2,2,2,2
2015-04-29 18:25:27,2,8,2,2
2015-04-29 18:25:28,5,3,2,2
2015-04-29 18:25:29,5,2,2,2
2015-04-29 18:25:30,5,2,2,0
2015-04-29 18:25:31,5,2,2,2
2015-04-29 18:25:32,5,2,3,2
2015-04-29 18:25:33,5,2,3,2
2015-04-29 18:25:34,5,2,3,2
2015-04-29 18:25:35,5,2,3,2
2015-04-29 18:25:36,2,2,3,0
2015-04-29 18:25:37,2,2,3,0
2015-04-29 18:25:38,2,2,3,2
2015-04-29 18:25:39,2,2,2,2
2015-04-29 18:25:40,2,2,4,2
2015-04-29 18:25:41,2,3,3,2
2015-04-29 18:25:42,2,3,3,2
2015-04-29 18:25:43,2,3,3,0
2015-04-29 18:25:44,2,3,3,0
2015-04-29 18:25:45,2,3,3,2
2015-04-29 18:25:46,0,4,1,2
2015-04-29 18:25:47,2,4,3,2
2015-04-29 18:25:48,2,3,3,2
2015-04-29 18:25:49,2,4,3,2
2015-04-29 18:25:50,2,4,3,2
2015-04-29 18:25:51,2,4,2,2
2015-04-29 18:25:52,2,4,2,2
2015-04-29 18:25:53,2,3,2,2
2015-04-29 18:25:54,2,3,3,2
2015-04-29 18:25:55,2,3,3,2
2015-04-29 18:25:56,2,4,3,2
2015-04-29 18:25:57,2,4,3,2
2015-04-29 18:25:58,2,3,2,2
2015-04-29 18:25:59,2,3,2,2
2015-04-29 18:26:00,2,3,2,2
2015-04-29 18:26:01,2,4,2,2
2015-04-29 18:26:02,0,3,2,2
