time,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-04-29 18:35:30,0,0,0,0
2015-04-29 18:35:31,2,0,0,0
2015-04-29 18:35:32,1,2,0,0
2015-04-29 18:35:33,1,2,2,0
2015-04-29 18:35:34,1,2,2,0
2015-04-29 18:35:35,1,4,2,0
2015-04-29 18:35:36,1,4,2,0
2015-04-29 18:35:37,1,4,2,2
2015-04-29 18:35:38,1,4,2,2
2015-04-29 18:35:39,1,3,3,2
2015-04-29 18:35:40,1,3,3,2
2015-04-29 18:35:41,1,3,3,2
2015-04-29 18:35:42,1,3,3,2
2015-04-29 18:35:43,1,3,1,2
2015-04-29 18:35:44,1,1,1,2
2015-04-29 18:35:45,8,1,1,2
2015-04-29 18:35:46,1,1,1,2
2015-04-29 18:35:47,1,8,8,2
2015-04-29 18:35:48,1,8,8,2
2015-04-29 18:35:49,1,8,8,1
2015-04-29 18:35:50,2,8,1,3
2015-04-29 18:35:51,0,8,1,3
2015-04-29 18:35:52,0,8,1,8
2015-04-29 18:35:53,0,4,1,8
2015-04-29 18:35:54,0,4,3,8
2015-04-29 18:35:55,0,4,3,0
2015-04-29 18:35:56,0,8,3,0
2015-04-29 18:35:57,0,1,1,0
2015-04-29 18:35:58,0,3,1,0
2015-04-29 18:35:59,0,3,1,0
2015-04-29 18:36:00,0,3,1,2
2015-04-29 18:36:01,0,3,1,2
2015-04-29 18:36:02,2,3,1,2
2015-04-29 18:36:03,2,3,3,2
2015-04-29 18:36:04,2,3,3,2
2015-04-29 18:36:05,2,3,4,2
2015-04-29 18:36:06,2,3,4,2
2015-04-29 18:36:07,2,3,4,2
2015-04-29 18:36:08,2,3,7,2
2015-04-29 18:36:09,2,3,7,2
2015-04-29 18:36:10,2,3,4,2
2015-04-29 18:36:11,2,3,4,2
2015-04-29 18:36:12,2,3,4,2
2015-04-29 18:36:13,2,3,4,2
2015-04-29 18:36:14,2,3,4,2
2015-04-29 18:36:15,2,3,4,2
2015-04-29 18:36:16,0,3,4,2
2015-04-29 18:36:17,0,8,4,2
2015-04-29 18:36:18,0,3,2,2
2015-04-29 18:36:19,0,3,2,2
2015-04-29 18:36:20,0,3,2,2
2015-04-29 18:36:21,0,3,3,2
2015-04-29 18:36:22,3,3,1,0
2015-04-29 18:36:23,3,3,1,0
2015-04-29 18:36:24,3,3,1,0
2015-04-29 18:36:25,3,3,1,0
2015-04-29 18:36:26,4,3,1,0
2015-04-29 18:36:27,4,3,1,0
2015-04-29 18:36:28,4,3,1,2
2015-04-29 18:36:29,8,3,1,2
2015-04-29 18:36:30,4,3,8,2
2015-04-29 18:36:31,4,3,8,2
2015-04-29 18:36:32,3,3,1,2
2015-04-29 18:36:33,3,3,1,2
2015-04-29 18:36:34,4,3,1,2
2015-04-29 18:36:35,4,4,1,1
2015-04-29 18:36:36,3,4,8,1
2015-04-29 18:36:37,4,4,8,1
2015-04-29 18:36:38,4,4,8,1
2015-04-29 18:36:39,3,4,1,1
2015-04-29 18:36:40,3,4,1,2
2015-04-29 18:36:41,3,4,1,2
2015-04-29 18:36:42,3,3,1,4
2015-04-29 18:36:43,3,1,3,4
2015-04-29 18:36:44,3,3,3,4
2015-04-29 18:36:45,3,3,3,4
2015-04-29 18:36:46,3,3,1,4
2015-04-29 18:36:47,3,2,3,4
2015-04-29 18:36:48,3,2,1,4
2015-04-29 18:36:49,1,2,1,3
2015-04-29 18:36:50,1,2,1,3
2015-04-29 18:36:51,1,2,1,4
2015-04-29 18:36:52,1,2,1,4
2015-04-29 18:36:53,1,2,1,4
2015-04-29 18:36:54,1,2,1,8
2015-04-29 18:36:55,1,2,1,4
2015-04-29 18:36:56,3,2,3,4
2015-04-29 18:36:57,3,2,3,4
2015-04-29 18:36:58,2,2,3,4
2015-04-29 18:36:59,2,2,1,6
2015-04-29 18:37:00,2,2,3,6
2015-04-29 18:37:01,2,2,4,2
2015-04-29 18:37:02,2,2,4,0
2015-04-29 18:37:03,2,2,6,0
2015-04-29 18:37:04,2,2,6,0
2015-04-29 18:37:05,2,2,6,0
2015-04-29 18:37:06,2,2,6,0
2015-04-29 18:37:07,2,2,6,4
2015-04-29 18:37:08,2,2,8,4
2015-04-29 18:37:09,2,2,8,4
2015-04-29 18:37:10,2,2,8,4
2015-04-29 18:37:11,2,2,8,4
2015-04-29 18:37:12,2,2,8,4
2015-04-29 18:37:13,2,3,8,4
2015-04-29 18:37:14,2,8,8,4
2015-04-29 18:37:15,2,3,7,4
2015-04-29 18:37:16,3,2,3,4
2015-04-29 18:37:17,3,3,3,4
2015-04-29 18:37:18,2,2,3,6
2015-04-29 18:37:19,3,2,3,5
2015-04-29 18:37:20,3,2,3,0
2015-04-29 18:37:21,2,2,3,0
2015-04-29 18:37:22,2,2,3,4
2015-04-29 18:37:23,2,2,4,4
2015-04-29 18:37:24,2,2,3,4
2015-04-29 18:37:25,3,2,3,4
2015-04-29 18:37:26,3,2,3,4
2015-04-29 18:37:27,3,2,3,6
2015-04-29 18:37:28,3,2,3,6
2015-04-29 18:37:29,3,2,4,6
2015-04-29 18:37:30,2,2,7,6
2015-04-29 18:37:31,1,2,7,7
2015-04-29 18:37:32,1,2,7,7
2015-04-29 18:37:33,1,2,4,7
2015-04-29 18:37:34,1,2,3,7
2015-04-29 18:37:35,1,3,3,7
2015-04-29 18:37:36,1,3,3,7
2015-04-29 18:37:37,1,3,3,4
2015-04-29 18:37:38,1,1,4,4
2015-04-29 18:37:39,1,1,4,4
2015-04-29 18:37:40,8,1,7,2
2015-04-29 18:37:41,8,1,8,4
2015-04-29 18:37:42,8,3,8,4
2015-04-29 18:37:43,8,3,8,4
2015-04-29 18:37:44,8,8,8,4
2015-04-29 18:37:45,8,8,8,4
2015-04-29 18:37:46,8,8,8,4
2015-04-29 18:37:47,8,8,8,8
2015-04-29 18:37:48,8,8,8,8
2015-04-29 18:37:49,8,8,8,7
2015-04-29 18:37:50,8,8,8,7
2015-04-29 18:37:51,8,8,8,8
2015-04-29 18:37:52,8,8,8,4
2015-04-29 18:37:53,8,8,8,8
2015-04-29 18:37:54,8,8,8,7
2015-04-29 18:37:55,8,8,8,8
2015-04-29 18:37:56,8,8,8,8
2015-04-29 18:37:57,8,8,8,8
2015-04-29 18:37:58,8,8,8,8
2015-04-29 18:37:59,8,8,8,8
2015-04-29 18:38:00,8,8,8,8
2015-04-29 18:38:01,8,8,8,8
2015-04-29 18:38:02,8,8,8,8
2015-04-29 18:38:03,8,8,8,8
2015-04-29 18:38:04,8,8,8,7
2015-04-29 18:38:05,8,8,8,7
2015-04-29 18:38:06,8,8,8,7
2015-04-29 18:38:07,8,8,8,7
2015-04-29 18:38:08,8,8,8,7
2015-04-29 18:38:09,8,8,8,7
2015-04-29 18:38:10,8,8,8,7
2015-04-29 18:38:11,8,8,8,7
2015-04-29 18:38:12,3,8,8,4
2015-04-29 18:38:13,4,6,7,4
2015-04-29 18:38:14,0,4,4,4
2015-04-29 18:38:15,0,4,4,4
2015-04-29 18:38:16,0,4,4,0
2015-04-29 18:38:17,2,2,2,0
2015-04-29 18:38:18,2,2,2,0
2015-04-29 18:38:19,2,2,2,0
2015-04-29 18:38:20,2,2,2,0
