time,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-01 18:20:44,0,0,0,0
2015-05-01 18:20:45,2,2,0,0
2015-05-01 18:20:46,2,2,0,0
2015-05-01 18:20:47,2,2,0,0
2015-05-01 18:20:48,2,2,2,0
2015-05-01 18:20:49,2,2,2,0
2015-05-01 18:20:50,2,2,2,0
2015-05-01 18:20:51,2,2,2,8
2015-05-01 18:20:52,2,2,2,7
2015-05-01 18:20:53,2,2,2,7
2015-05-01 18:20:54,2,2,2,7
2015-05-01 18:20:55,4,0,2,7
2015-05-01 18:20:56,4,0,2,7
2015-05-01 18:20:57,4,2,2,7
2015-05-01 18:20:58,3,2,2,7
2015-05-01 18:20:59,3,2,2,5
2015-05-01 18:21:00,3,2,2,2
2015-05-01 18:21:01,3,2,2,2
2015-05-01 18:21:02,3,2,2,2
2015-05-01 18:21:03,3,2,2,2
2015-05-01 18:21:04,3,2,2,2
2015-05-01 18:21:05,3,2,2,2
2015-05-01 18:21:06,3,2,3,2
2015-05-01 18:21:07,3,2,3,2
2015-05-01 18:21:08,3,3,1,2
2015-05-01 18:21:09,8,3,1,2
2015-05-01 18:21:10,3,3,3,2
2015-05-01 18:21:11,3,3,1,2
2015-05-01 18:21:12,1,3,1,2
2015-05-01 18:21:13,1,2,1,2
2015-05-01 18:21:14,8,3,1,2
2015-05-01 18:21:15,8,1,1,2
2015-05-01 18:21:16,8,1,1,2
2015-05-01 18:21:17,8,1,1,2
2015-05-01 18:21:18,8,1,1,2
2015-05-01 18:21:19,8,1,3,2
2015-05-01 18:21:20,8,1,2,3
2015-05-01 18:21:21,6,1,2,3
2015-05-01 18:21:22,6,1,5,3
2015-05-01 18:21:23,4,1,3,3
2015-05-01 18:21:24,4,1,5,3
2015-05-01 18:21:25,4,1,5,3
2015-05-01 18:21:26,7,1,5,3
2015-05-01 18:21:27,7,1,1,3
2015-05-01 18:21:28,7,1,2,3
2015-05-01 18:21:29,7,1,1,3
2015-05-01 18:21:30,7,1,2,3
2015-05-01 18:21:31,7,1,2,3
2015-05-01 18:21:32,7,1,2,3
2015-05-01 18:21:33,7,1,2,3
2015-05-01 18:21:34,7,1,2,3
2015-05-01 18:21:35,7,2,2,3
2015-05-01 18:21:36,6,2,2,3
2015-05-01 18:21:37,7,2,2,3
2015-05-01 18:21:38,4,2,2,3
2015-05-01 18:21:39,4,2,2,3
2015-05-01 18:21:40,4,2,2,3
2015-05-01 18:21:41,4,2,2,3
2015-05-01 18:21:42,4,2,2,3
2015-05-01 18:21:43,4,4,2,3
2015-05-01 18:21:44,4,3,2,3
2015-05-01 18:21:45,6,3,2,3
2015-05-01 18:21:46,7,3,2,3
2015-05-01 18:21:47,7,3,2,3
2015-05-01 18:21:48,7,3,2,3
2015-05-01 18:21:49,4,3,2,3
2015-05-01 18:21:50,4,3,4,6
2015-05-01 18:21:51,4,3,4,4
2015-05-01 18:21:52,3,4,4,3
2015-05-01 18:21:53,3,4,4,3
2015-05-01 18:21:54,3,4,4,3
2015-05-01 18:21:55,3,4,4,1
2015-05-01 18:21:56,3,4,4,1
2015-05-01 18:21:57,8,4,4,1
2015-05-01 18:21:58,7,3,4,1
2015-05-01 18:21:59,8,3,4,1
2015-05-01 18:22:00,8,3,4,1
2015-05-01 18:22:01,8,3,3,1
2015-05-01 18:22:02,8,3,3,1
2015-05-01 18:22:03,8,4,3,1
2015-05-01 18:22:04,8,7,1,1
2015-05-01 18:22:05,8,7,1,1
2015-05-01 18:22:06,8,7,1,1
2015-05-01 18:22:07,1,7,1,1
2015-05-01 18:22:08,1,7,1,1
2015-05-01 18:22:09,3,7,1,1
2015-05-01 18:22:10,4,7,1,1
2015-05-01 18:22:11,4,7,1,1
2015-05-01 18:22:12,4,7,1,1
2015-05-01 18:22:13,4,7,8,1
2015-05-01 18:22:14,3,7,8,1
2015-05-01 18:22:15,3,7,8,1
2015-05-01 18:22:16,3,7,8,1
2015-05-01 18:22:17,3,7,8,1
2015-05-01 18:22:18,3,7,8,1
2015-05-01 18:22:19,3,7,8,1
2015-05-01 18:22:20,3,7,8,1
2015-05-01 18:22:21,4,7,7,1
2015-05-01 18:22:22,7,6,7,1
2015-05-01 18:22:23,7,8,8,2
2015-05-01 18:22:24,7,8,8,1
2015-05-01 18:22:25,4,7,8,2
2015-05-01 18:22:26,4,7,8,1
2015-05-01 18:22:27,4,7,8,3
2015-05-01 18:22:28,4,7,8,4
2015-05-01 18:22:29,4,7,8,4
2015-05-01 18:22:30,4,7,8,4
2015-05-01 18:22:31,4,7,8,4
2015-05-01 18:22:32,3,7,7,4
2015-05-01 18:22:33,3,7,4,3
2015-05-01 18:22:34,8,7,4,3
2015-05-01 18:22:35,8,7,8,1
2015-05-01 18:22:36,8,7,2,1
2015-05-01 18:22:37,8,7,3,1
2015-05-01 18:22:38,8,7,3,2
2015-05-01 18:22:39,8,7,4,2
2015-05-01 18:22:40,1,7,4,2
2015-05-01 18:22:41,1,7,4,2
2015-05-01 18:22:42,1,7,2,2
2015-05-01 18:22:43,3,7,2,1
2015-05-01 18:22:44,3,7,2,1
2015-05-01 18:22:45,3,7,2,1
2015-05-01 18:22:46,3,7,2,1
2015-05-01 18:22:47,3,7,2,1
2015-05-01 18:22:48,3,7,2,1
2015-05-01 18:22:49,8,7,2,1
2015-05-01 18:22:50,8,7,2,2
2015-05-01 18:22:51,3,7,2,2
2015-05-01 18:22:52,3,7,2,2
2015-05-01 18:22:53,3,7,2,2
2015-05-01 18:22:54,3,7,8,2
2015-05-01 18:22:55,3,7,4,2
