time,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-05-01 18:34:23,0,0,0,0
2015-05-01 18:34:24,2,0,0,0
2015-05-01 18:34:25,2,2,0,0
2015-05-01 18:34:26,2,6,0,0
2015-05-01 18:34:27,2,6,8,0
2015-05-01 18:34:28,7,6,6,2
2015-05-01 18:34:29,2,6,6,2
2015-05-01 18:34:30,2,6,6,2
2015-05-01 18:34:31,2,6,6,2
2015-05-01 18:34:32,5,6,4,2
2015-05-01 18:34:33,5,6,3,2
2015-05-01 18:34:34,7,6,3,2
2015-05-01 18:34:35,7,6,3,2
2015-05-01 18:34:36,7,4,4,2
2015-05-01 18:34:37,7,4,7,2
2015-05-01 18:34:38,7,4,8,4
2015-05-01 18:34:39,8,7,8,6
2015-05-01 18:34:40,8,6,8,6
2015-05-01 18:34:41,8,6,6,6
2015-05-01 18:34:42,8,6,4,6
2015-05-01 18:34:43,8,4,4,6
2015-05-01 18:34:44,8,4,4,6
2015-05-01 18:34:45,8,7,4,6
2015-05-01 18:34:46,8,7,4,6
2015-05-01 18:34:47,8,4,4,6
2015-05-01 18:34:48,8,7,4,6
2015-05-01 18:34:49,8,7,4,8
2015-05-01 18:34:50,8,7,4,8
2015-05-01 18:34:51,8,4,4,3
2015-05-01 18:34:52,8,7,4,2
2015-05-01 18:34:53,8,7,4,2
2015-05-01 18:34:54,8,7,4,2
2015-05-01 18:34:55,8,4,4,2
2015-05-01 18:34:56,7,7,4,2
2015-05-01 18:34:57,8,7,4,2
2015-05-01 18:34:58,8,7,4,2
2015-05-01 18:34:59,4,7,4,2
2015-05-01 18:35:00,3,7,4,2
2015-05-01 18:35:01,3,4,4,2
2015-05-01 18:35:02,4,7,4,2
2015-05-01 18:35:03,4,4,4,2
2015-05-01 18:35:04,4,4,4,3
2015-05-01 18:35:05,7,8,4,4
2015-05-01 18:35:06,7,7,4,4
2015-05-01 18:35:07,7,7,4,4
2015-05-01 18:35:08,7,7,7,4
2015-05-01 18:35:09,7,7,4,7
