time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-01 18:46:36,0,0,0,0
2015-05-01 18:46:37,2,0,0,0
2015-05-01 18:46:38,2,0,0,0
2015-05-01 18:46:39,2,0,0,0
2015-05-01 18:46:40,2,0,0,0
2015-05-01 18:46:41,1,0,0,0
2015-05-01 18:46:42,1,2,2,2
2015-05-01 18:46:43,1,2,2,2
2015-05-01 18:46:44,1,1,2,2
2015-05-01 18:46:45,1,1,2,2
2015-05-01 18:46:46,1,1,1,1
2015-05-01 18:46:47,1,1,2,1
2015-05-01 18:46:48,1,1,1,1
2015-05-01 18:46:49,1,1,1,1
2015-05-01 18:46:50,1,1,1,1
2015-05-01 18:46:51,1,1,1,1
2015-05-01 18:46:52,1,1,1,1
2015-05-01 18:46:53,1,1,1,1
2015-05-01 18:46:54,1,1,1,1
2015-05-01 18:46:55,1,1,1,1
2015-05-01 18:46:56,1,1,3,1
2015-05-01 18:46:57,1,1,3,1
2015-05-01 18:46:58,1,1,2,1
2015-05-01 18:46:59,1,1,3,1
2015-05-01 18:47:00,1,1,1,1
2015-05-01 18:47:01,1,1,1,1
2015-05-01 18:47:02,1,1,8,1
2015-05-01 18:47:03,1,1,8,1
2015-05-01 18:47:04,2,3,8,1
2015-05-01 18:47:05,1,7,8,1
2015-05-01 18:47:06,1,7,8,1
2015-05-01 18:47:07,2,7,8,1
2015-05-01 18:47:08,3,7,8,1
2015-05-01 18:47:09,3,7,8,1
2015-05-01 18:47:10,4,7,8,1
2015-05-01 18:47:11,4,8,8,1
2015-05-01 18:47:12,6,3,8,1
2015-05-01 18:47:13,8,3,8,1
2015-05-01 18:47:14,8,1,8,1
2015-05-01 18:47:15,8,1,8,1
2015-05-01 18:47:16,8,1,8,1
2015-05-01 18:47:17,8,1,8,1
2015-05-01 18:47:18,8,1,8,1
2015-05-01 18:47:19,6,3,8,1
2015-05-01 18:47:20,6,3,8,1
2015-05-01 18:47:21,6,8,8,1
2015-05-01 18:47:22,8,8,8,1
2015-05-01 18:47:23,8,8,3,1
2015-05-01 18:47:24,8,8,3,1
2015-05-01 18:47:25,3,8,7,1
2015-05-01 18:47:26,3,8,8,1
2015-05-01 18:47:27,3,8,8,1
2015-05-01 18:47:28,3,8,8,1
2015-05-01 18:47:29,3,8,4,3
2015-05-01 18:47:30,1,4,4,1
2015-05-01 18:47:31,1,2,3,3
2015-05-01 18:47:32,1,2,3,3
2015-05-01 18:47:33,2,2,2,3
2015-05-01 18:47:34,1,2,3,3
2015-05-01 18:47:35,2,2,3,3
2015-05-01 18:47:36,1,2,3,1
2015-05-01 18:47:37,1,2,3,1
2015-05-01 18:47:38,3,8,1,3
2015-05-01 18:47:39,1,5,1,3
2015-05-01 18:47:40,3,8,1,3
2015-05-01 18:47:41,3,5,1,3
2015-05-01 18:47:42,3,5,1,3
2015-05-01 18:47:43,3,5,1,3
2015-05-01 18:47:44,3,3,1,3
2015-05-01 18:47:45,3,3,1,2
2015-05-01 18:47:46,3,3,1,2
2015-05-01 18:47:47,3,3,1,1
2015-05-01 18:47:48,3,3,1,1
2015-05-01 18:47:49,3,3,1,1
2015-05-01 18:47:50,1,5,1,1
2015-05-01 18:47:51,1,5,1,1
2015-05-01 18:47:52,1,2,1,1
2015-05-01 18:47:53,1,2,1,1
