time,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-07 18:25:57,0,0,0,0
2015-05-07 18:25:58,4,2,0,0
2015-05-07 18:25:59,4,7,0,0
2015-05-07 18:26:00,4,7,0,0
2015-05-07 18:26:01,4,7,0,0
2015-05-07 18:26:02,4,7,0,0
2015-05-07 18:26:03,2,7,2,0
2015-05-07 18:26:04,2,5,2,0
2015-05-07 18:26:05,2,5,2,0
2015-05-07 18:26:06,0,5,2,0
2015-05-07 18:26:07,0,5,2,0
2015-05-07 18:26:08,0,5,0,0
2015-05-07 18:26:09,2,5,0,0
2015-05-07 18:26:10,2,5,0,0
2015-05-07 18:26:11,2,5,0,0
2015-05-07 18:26:12,2,5,6,0
2015-05-07 18:26:13,2,5,6,0
2015-05-07 18:26:14,2,5,6,0
2015-05-07 18:26:15,2,5,2,0
2015-05-07 18:26:16,2,5,2,0
2015-05-07 18:26:17,2,5,6,2
2015-05-07 18:26:18,2,5,6,5
2015-05-07 18:26:19,2,5,6,5
2015-05-07 18:26:20,2,5,0,5
2015-05-07 18:26:21,2,5,0,5
2015-05-07 18:26:22,2,5,2,5
2015-05-07 18:26:23,2,5,2,5
2015-05-07 18:26:24,2,5,2,5
2015-05-07 18:26:25,2,5,2,5
2015-05-07 18:26:26,2,5,2,5
2015-05-07 18:26:27,2,5,6,5
2015-05-07 18:26:28,2,5,6,5
2015-05-07 18:26:29,2,7,2,5
2015-05-07 18:26:30,2,7,6,5
2015-05-07 18:26:31,2,7,6,5
2015-05-07 18:26:32,0,7,6,5
2015-05-07 18:26:33,0,7,6,5
2015-05-07 18:26:34,0,5,0,5
2015-05-07 18:26:35,0,5,0,5
2015-05-07 18:26:36,2,5,0,1
2015-05-07 18:26:37,3,5,0,0
2015-05-07 18:26:38,3,5,0,0
2015-05-07 18:26:39,3,5,0,0
2015-05-07 18:26:40,3,5,0,1
2015-05-07 18:26:41,3,5,0,1
2015-05-07 18:26:42,4,5,0,1
2015-05-07 18:26:43,4,5,0,1
2015-05-07 18:26:44,4,5,6,2
2015-05-07 18:26:45,4,5,6,5
2015-05-07 18:26:46,4,5,6,5
2015-05-07 18:26:47,3,5,6,5
2015-05-07 18:26:48,3,5,6,5
2015-05-07 18:26:49,3,5,0,5
2015-05-07 18:26:50,3,5,6,5
2015-05-07 18:26:51,8,5,6,5
2015-05-07 18:26:52,4,7,6,5
2015-05-07 18:26:53,3,7,6,7
2015-05-07 18:26:54,4,7,6,7
2015-05-07 18:26:55,8,8,0,5
2015-05-07 18:26:56,4,8,7,6
2015-05-07 18:26:57,4,8,7,5
2015-05-07 18:26:58,4,8,7,7
2015-05-07 18:26:59,3,8,7,7
2015-05-07 18:27:00,3,8,7,6
2015-05-07 18:27:01,3,8,7,7
2015-05-07 18:27:02,2,8,8,7
2015-05-07 18:27:03,4,8,8,5
2015-05-07 18:27:04,4,8,8,5
2015-05-07 18:27:05,4,7,8,5
2015-05-07 18:27:06,4,7,8,5
2015-05-07 18:27:07,4,7,7,5
2015-05-07 18:27:08,6,5,7,5
2015-05-07 18:27:09,6,8,7,5
2015-05-07 18:27:10,6,8,7,5
2015-05-07 18:27:11,6,8,7,5
2015-05-07 18:27:12,5,5,7,5
2015-05-07 18:27:13,5,5,7,5
2015-05-07 18:27:14,5,5,7,5
2015-05-07 18:27:15,5,5,7,5
2015-05-07 18:27:16,5,7,7,5
2015-05-07 18:27:17,8,7,7,5
2015-05-07 18:27:18,6,7,7,5
2015-05-07 18:27:19,6,8,7,5
2015-05-07 18:27:20,6,8,7,6
2015-05-07 18:27:21,8,8,7,6
2015-05-07 18:27:22,6,8,7,6
2015-05-07 18:27:23,5,8,7,7
2015-05-07 18:27:24,5,8,7,6
2015-05-07 18:27:25,8,8,7,6
2015-05-07 18:27:26,6,8,7,7
2015-05-07 18:27:27,6,8,8,6
2015-05-07 18:27:28,6,7,8,6
2015-05-07 18:27:29,6,7,7,6
2015-05-07 18:27:30,6,5,8,6
2015-05-07 18:27:31,6,7,8,6
