time,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-07 18:37:59,0,0,0,0
2015-05-07 18:38:00,1,0,0,0
2015-05-07 18:38:01,1,2,0,0
2015-05-07 18:38:02,8,2,0,0
2015-05-07 18:38:03,8,2,2,0
2015-05-07 18:38:04,8,2,2,0
2015-05-07 18:38:05,8,2,2,2
2015-05-07 18:38:06,8,1,1,2
2015-05-07 18:38:07,8,1,1,2
2015-05-07 18:38:08,8,1,1,2
2015-05-07 18:38:09,8,1,1,2
2015-05-07 18:38:10,8,1,1,2
2015-05-07 18:38:11,8,2,1,2
2015-05-07 18:38:12,8,1,1,2
2015-05-07 18:38:13,8,1,1,2
2015-05-07 18:38:14,8,2,1,2
2015-05-07 18:38:15,8,2,1,1
2015-05-07 18:38:16,8,2,1,1
2015-05-07 18:38:17,8,2,1,1
2015-05-07 18:38:18,8,2,1,1
2015-05-07 18:38:19,8,1,1,1
2015-05-07 18:38:20,8,1,1,1
2015-05-07 18:38:21,8,1,1,1
2015-05-07 18:38:22,8,1,1,1
2015-05-07 18:38:23,8,1,1,1
2015-05-07 18:38:24,8,1,1,1
2015-05-07 18:38:25,8,2,1,1
2015-05-07 18:38:26,8,1,1,1
2015-05-07 18:38:27,8,1,1,1
2015-05-07 18:38:28,8,2,1,1
2015-05-07 18:38:29,8,2,1,1
2015-05-07 18:38:30,8,2,1,6
2015-05-07 18:38:31,8,2,1,6
2015-05-07 18:38:32,8,1,1,4
2015-05-07 18:38:33,1,1,1,4
2015-05-07 18:38:34,3,1,3,4
2015-05-07 18:38:35,3,1,3,4
2015-05-07 18:38:36,3,1,3,3
2015-05-07 18:38:37,8,1,1,2
2015-05-07 18:38:38,8,1,2,2
2015-05-07 18:38:39,4,1,2,2
2015-05-07 18:38:40,4,1,3,2
2015-05-07 18:38:41,4,1,4,2
2015-05-07 18:38:42,4,1,3,2
2015-05-07 18:38:43,4,1,3,2
2015-05-07 18:38:44,4,2,3,2
2015-05-07 18:38:45,4,2,3,2
2015-05-07 18:38:46,3,2,3,3
2015-05-07 18:38:47,3,2,3,3
2015-05-07 18:38:48,3,2,3,4
2015-05-07 18:38:49,3,2,3,4
2015-05-07 18:38:50,3,2,3,4
2015-05-07 18:38:51,3,2,3,8
2015-05-07 18:38:52,1,2,3,5
2015-05-07 18:38:53,3,2,3,5
