time,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-05-07 18:52:39,0,0,0,0
2015-05-07 18:52:40,2,0,0,0
2015-05-07 18:52:41,2,2,0,0
2015-05-07 18:52:42,2,2,0,0
2015-05-07 18:52:43,2,2,2,2
2015-05-07 18:52:44,2,2,2,2
2015-05-07 18:52:45,2,2,2,2
2015-05-07 18:52:46,2,2,2,2
2015-05-07 18:52:47,2,2,2,2
2015-05-07 18:52:48,2,1,2,2
2015-05-07 18:52:49,2,1,2,2
2015-05-07 18:52:50,2,1,2,2
2015-05-07 18:52:51,2,1,1,2
2015-05-07 18:52:52,2,1,1,2
2015-05-07 18:52:53,2,1,1,2
2015-05-07 18:52:54,2,1,1,2
2015-05-07 18:52:55,1,1,1,2
2015-05-07 18:52:56,1,1,1,2
2015-05-07 18:52:57,1,1,1,2
2015-05-07 18:52:58,1,1,1,2
2015-05-07 18:52:59,1,2,1,2
2015-05-07 18:53:00,1,2,1,2
2015-05-07 18:53:01,1,2,1,2
2015-05-07 18:53:02,1,1,1,2
2015-05-07 18:53:03,1,1,1,2
2015-05-07 18:53:04,1,1,1,2
2015-05-07 18:53:05,1,1,1,2
2015-05-07 18:53:06,1,1,1,2
2015-05-07 18:53:07,1,1,2,2
2015-05-07 18:53:08,1,2,2,2
2015-05-07 18:53:09,1,2,2,2
2015-05-07 18:53:10,1,2,2,2
2015-05-07 18:53:11,2,2,2,2
2015-05-07 18:53:12,2,2,2,2
2015-05-07 18:53:13,1,2,2,2
2015-05-07 18:53:14,1,2,2,2
2015-05-07 18:53:15,1,2,2,2
2015-05-07 18:53:16,1,2,2,2
2015-05-07 18:53:17,1,2,2,2
2015-05-07 18:53:18,2,2,2,2
2015-05-07 18:53:19,2,2,2,2
2015-05-07 18:53:20,2,2,2,2
2015-05-07 18:53:21,2,2,2,2
2015-05-07 18:53:22,2,2,2,2
2015-05-07 18:53:23,2,2,2,4
2015-05-07 18:53:24,2,2,2,8
2015-05-07 18:53:25,2,2,2,7
2015-05-07 18:53:26,2,2,2,7
2015-05-07 18:53:27,2,2,2,7
2015-05-07 18:53:28,2,2,2,7
2015-05-07 18:53:29,2,2,2,7
2015-05-07 18:53:30,2,2,2,7
2015-05-07 18:53:31,2,2,2,7
2015-05-07 18:53:32,2,2,2,7
2015-05-07 18:53:33,2,2,2,7
2015-05-07 18:53:34,2,2,5,5
2015-05-07 18:53:35,2,2,5,5
2015-05-07 18:53:36,2,2,5,5
2015-05-07 18:53:37,2,2,5,5
2015-05-07 18:53:38,2,2,5,5
2015-05-07 18:53:39,2,2,5,5
2015-05-07 18:53:40,2,2,5,5
2015-05-07 18:53:41,2,2,5,5
2015-05-07 18:53:42,2,5,5,5
2015-05-07 18:53:43,5,5,5,5
2015-05-07 18:53:44,5,5,5,5
2015-05-07 18:53:45,5,5,5,5
2015-05-07 18:53:46,5,5,7,5
2015-05-07 18:53:47,2,7,7,5
2015-05-07 18:53:48,2,8,7,5
2015-05-07 18:53:49,2,8,7,5
2015-05-07 18:53:50,2,8,8,5
2015-05-07 18:53:51,2,2,0,5
2015-05-07 18:53:52,2,2,0,2
2015-05-07 18:53:53,2,2,2,2
2015-05-07 18:53:54,2,2,2,2
2015-05-07 18:53:55,2,2,2,2
2015-05-07 18:53:56,2,2,2,2
2015-05-07 18:53:57,2,2,2,2
2015-05-07 18:53:58,5,2,2,2
2015-05-07 18:53:59,5,2,2,2
2015-05-07 18:54:00,8,2,2,2
2015-05-07 18:54:01,3,2,2,2
2015-05-07 18:54:02,3,2,2,2
2015-05-07 18:54:03,3,2,2,2
2015-05-07 18:54:04,3,2,2,2
2015-05-07 18:54:05,3,4,2,2
2015-05-07 18:54:06,3,4,2,2
2015-05-07 18:54:07,3,3,2,2
2015-05-07 18:54:08,3,3,2,2
2015-05-07 18:54:09,3,4,2,2
2015-05-07 18:54:10,3,3,2,2
2015-05-07 18:54:11,3,4,2,2
2015-05-07 18:54:12,3,4,2,2
2015-05-07 18:54:13,3,8,2,2
2015-05-07 18:54:14,3,8,2,2
2015-05-07 18:54:15,3,8,2,2
2015-05-07 18:54:16,3,4,2,2
2015-05-07 18:54:17,3,8,2,2
2015-05-07 18:54:18,3,8,2,2
2015-05-07 18:54:19,3,8,2,2
2015-05-07 18:54:20,3,8,2,2
2015-05-07 18:54:21,3,8,2,2
2015-05-07 18:54:22,3,4,2,2
2015-05-07 18:54:23,3,4,2,2
2015-05-07 18:54:24,3,4,2,2
2015-05-07 18:54:25,4,4,2,2
2015-05-07 18:54:26,4,4,2,2
2015-05-07 18:54:27,4,4,2,2
2015-05-07 18:54:28,4,3,2,8
2015-05-07 18:54:29,0,3,2,2
2015-05-07 18:54:30,0,3,2,2
2015-05-07 18:54:31,2,3,2,2
2015-05-07 18:54:32,4,3,2,2
2015-05-07 18:54:33,4,8,2,2
2015-05-07 18:54:34,4,8,2,2
2015-05-07 18:54:35,7,8,2,2
2015-05-07 18:54:36,7,8,2,2
2015-05-07 18:54:37,7,8,2,2
2015-05-07 18:54:38,8,3,2,2
2015-05-07 18:54:39,8,8,2,2
2015-05-07 18:54:40,8,3,2,2
2015-05-07 18:54:41,8,8,2,2
2015-05-07 18:54:42,8,3,2,2
2015-05-07 18:54:43,8,8,2,2
2015-05-07 18:54:44,8,3,2,2
2015-05-07 18:54:45,8,3,2,2
2015-05-07 18:54:46,8,3,2,2
2015-05-07 18:54:47,8,3,2,2
2015-05-07 18:54:48,8,3,2,2
2015-05-07 18:54:49,7,2,2,2
2015-05-07 18:54:50,8,2,2,2
2015-05-07 18:54:51,8,2,2,2
2015-05-07 18:54:52,8,2,2,2
2015-05-07 18:54:53,1,2,2,0
2015-05-07 18:54:54,1,2,2,0
2015-05-07 18:54:55,3,2,2,2
2015-05-07 18:54:56,4,2,2,2
2015-05-07 18:54:57,3,2,2,2
2015-05-07 18:54:58,3,2,2,2
2015-05-07 18:54:59,2,2,2,2
2015-05-07 18:55:00,2,2,2,2
2015-05-07 18:55:01,2,2,2,2
2015-05-07 18:55:02,2,2,2,2
2015-05-07 18:55:03,2,2,2,2
2015-05-07 18:55:04,2,2,2,2
2015-05-07 18:55:05,2,2,2,2
2015-05-07 18:55:06,1,2,2,2
2015-05-07 18:55:07,1,2,2,2
2015-05-07 18:55:08,1,2,2,2
2015-05-07 18:55:09,1,2,2,2
2015-05-07 18:55:10,2,2,2,2
2015-05-07 18:55:11,2,2,2,2
2015-05-07 18:55:12,2,2,2,8
2015-05-07 18:55:13,2,2,2,3
2015-05-07 18:55:14,2,2,2,3
2015-05-07 18:55:15,3,2,1,3
2015-05-07 18:55:16,3,2,2,3
2015-05-07 18:55:17,1,2,2,3
2015-05-07 18:55:18,3,2,2,3
2015-05-07 18:55:19,3,1,2,3
2015-05-07 18:55:20,4,1,2,3
2015-05-07 18:55:21,4,2,2,3
2015-05-07 18:55:22,7,2,0,2
2015-05-07 18:55:23,7,2,0,0
2015-05-07 18:55:24,7,2,0,0
2015-05-07 18:55:25,7,2,0,0
2015-05-07 18:55:26,7,8,0,0
2015-05-07 18:55:27,7,8,0,0
2015-05-07 18:55:28,7,8,0,0
2015-05-07 18:55:29,7,2,0,0
2015-05-07 18:55:30,7,2,0,2
2015-05-07 18:55:31,7,2,0,5
2015-05-07 18:55:32,7,2,0,5
2015-05-07 18:55:33,7,2,0,7
2015-05-07 18:55:34,5,2,0,7
2015-05-07 18:55:35,5,2,6,7
2015-05-07 18:55:36,5,2,5,7
2015-05-07 18:55:37,5,2,5,6
2015-05-07 18:55:38,5,6,5,6
2015-05-07 18:55:39,7,5,5,6
2015-05-07 18:55:40,7,5,5,6
2015-05-07 18:55:41,7,5,5,6
2015-05-07 18:55:42,7,5,5,6
2015-05-07 18:55:43,6,2,5,6
2015-05-07 18:55:44,7,2,5,6
2015-05-07 18:55:45,7,2,5,6
2015-05-07 18:55:46,7,2,8,6
2015-05-07 18:55:47,7,2,6,6
2015-05-07 18:55:48,7,2,8,7
2015-05-07 18:55:49,4,2,8,7
2015-05-07 18:55:50,4,2,8,7
2015-05-07 18:55:51,7,2,4,4
2015-05-07 18:55:52,7,2,7,8
2015-05-07 18:55:53,7,2,7,2
2015-05-07 18:55:54,7,2,7,2
2015-05-07 18:55:55,7,2,7,2
2015-05-07 18:55:56,7,2,4,2
2015-05-07 18:55:57,8,2,4,1
2015-05-07 18:55:58,7,2,0,1
2015-05-07 18:55:59,7,2,0,3
2015-05-07 18:56:00,7,2,0,3
2015-05-07 18:56:01,7,2,6,3
2015-05-07 18:56:02,7,2,6,3
2015-05-07 18:56:03,7,2,6,3
2015-05-07 18:56:04,7,2,6,3
2015-05-07 18:56:05,7,2,6,3
2015-05-07 18:56:06,8,2,4,3
2015-05-07 18:56:07,5,2,0,7
2015-05-07 18:56:08,5,1,3,7
2015-05-07 18:56:09,5,1,3,7
2015-05-07 18:56:10,5,1,3,8
2015-05-07 18:56:11,5,1,1,4
2015-05-07 18:56:12,5,1,1,4
2015-05-07 18:56:13,5,2,1,4
2015-05-07 18:56:14,1,1,1,4
2015-05-07 18:56:15,2,1,1,4
2015-05-07 18:56:16,1,1,1,4
2015-05-07 18:56:17,1,1,1,3
2015-05-07 18:56:18,1,1,1,3
2015-05-07 18:56:19,2,1,1,3
2015-05-07 18:56:20,2,1,1,1
2015-05-07 18:56:21,2,1,1,1
2015-05-07 18:56:22,2,1,1,1
2015-05-07 18:56:23,1,1,1,1
2015-05-07 18:56:24,1,1,1,1
2015-05-07 18:56:25,1,1,1,1
2015-05-07 18:56:26,1,1,1,1
2015-05-07 18:56:27,1,1,1,1
2015-05-07 18:56:28,1,1,1,1
2015-05-07 18:56:29,3,2,1,1
2015-05-07 18:56:30,3,1,1,1
2015-05-07 18:56:31,3,1,1,3
2015-05-07 18:56:32,3,1,1,3
2015-05-07 18:56:33,3,2,1,3
2015-05-07 18:56:34,3,2,1,3
2015-05-07 18:56:35,1,2,1,8
2015-05-07 18:56:36,1,3,1,3
2015-05-07 18:56:37,1,3,1,8
2015-05-07 18:56:38,1,3,1,8
2015-05-07 18:56:39,1,3,1,8
2015-05-07 18:56:40,1,3,1,3
2015-05-07 18:56:41,1,3,1,3
2015-05-07 18:56:42,1,3,1,3
2015-05-07 18:56:43,1,3,1,3
2015-05-07 18:56:44,1,3,1,4
2015-05-07 18:56:45,1,3,1,2
2015-05-07 18:56:46,2,3,1,2
2015-05-07 18:56:47,2,3,1,2
2015-05-07 18:56:48,2,3,1,2
2015-05-07 18:56:49,2,3,1,5
2015-05-07 18:56:50,1,3,1,5
2015-05-07 18:56:51,1,3,1,5
2015-05-07 18:56:52,1,3,1,5
