time,9A5116EA-2793-4C75-AC93-524C9EF550FD,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-08 15:41:15,0,0,0,0
2015-05-08 15:41:16,2,6,0,0
2015-05-08 15:41:17,2,6,0,0
2015-05-08 15:41:18,2,6,0,0
2015-05-08 15:41:19,2,6,0,0
2015-05-08 15:41:20,2,6,2,2
2015-05-08 15:41:21,2,0,2,7
2015-05-08 15:41:22,2,0,2,7
2015-05-08 15:41:23,2,0,2,7
2015-05-08 15:41:24,2,0,2,7
2015-05-08 15:41:25,2,0,2,7
2015-05-08 15:41:26,0,0,2,5
2015-05-08 15:41:27,0,0,2,5
2015-05-08 15:41:28,0,6,6,5
2015-05-08 15:41:29,0,6,0,5
2015-05-08 15:41:30,2,6,0,5
2015-05-08 15:41:31,2,2,0,2
2015-05-08 15:41:32,5,2,0,2
2015-05-08 15:41:33,5,2,0,2
2015-05-08 15:41:34,5,2,2,0
2015-05-08 15:41:35,5,2,6,0
2015-05-08 15:41:36,5,2,6,0
2015-05-08 15:41:37,2,2,7,0
2015-05-08 15:41:38,2,2,7,0
2015-05-08 15:41:39,2,2,7,2
2015-05-08 15:41:40,2,2,7,2
2015-05-08 15:41:41,2,2,7,2
2015-05-08 15:41:42,2,2,6,2
2015-05-08 15:41:43,5,2,2,2
2015-05-08 15:41:44,5,2,2,2
2015-05-08 15:41:45,5,2,2,2
2015-05-08 15:41:46,5,2,2,2
2015-05-08 15:41:47,5,2,2,2
2015-05-08 15:41:48,2,0,2,2
2015-05-08 15:41:49,5,2,2,2
2015-05-08 15:41:50,7,2,2,0
2015-05-08 15:41:51,7,2,2,0
2015-05-08 15:41:52,7,2,2,2
2015-05-08 15:41:53,7,2,2,7
2015-05-08 15:41:54,7,6,2,7
2015-05-08 15:41:55,6,7,2,4
2015-05-08 15:41:56,6,5,2,7
2015-05-08 15:41:57,6,8,2,7
2015-05-08 15:41:58,6,8,2,7
2015-05-08 15:41:59,4,8,2,7
2015-05-08 15:42:00,4,8,2,7
2015-05-08 15:42:01,4,3,2,7
2015-05-08 15:42:02,7,3,6,7
2015-05-08 15:42:03,7,3,8,7
2015-05-08 15:42:04,7,3,7,7
2015-05-08 15:42:05,7,3,7,7
2015-05-08 15:42:06,6,5,7,7
2015-05-08 15:42:07,6,5,7,7
2015-05-08 15:42:08,6,8,7,7
2015-05-08 15:42:09,6,8,7,7
2015-05-08 15:42:10,6,8,6,7
2015-05-08 15:42:11,6,8,7,7
2015-05-08 15:42:12,6,8,7,8
2015-05-08 15:42:13,6,8,7,8
2015-05-08 15:42:14,6,8,7,8
2015-05-08 15:42:15,6,8,7,8
2015-05-08 15:42:16,6,8,7,8
2015-05-08 15:42:17,6,8,7,8
2015-05-08 15:42:18,4,8,4,8
2015-05-08 15:42:19,4,8,4,8
2015-05-08 15:42:20,3,2,4,7
2015-05-08 15:42:21,3,2,3,7
2015-05-08 15:42:22,3,2,2,7
2015-05-08 15:42:23,3,6,2,5
2015-05-08 15:42:24,2,6,2,5
2015-05-08 15:42:25,2,6,2,5
2015-05-08 15:42:26,7,6,8,5
2015-05-08 15:42:27,7,6,7,5
2015-05-08 15:42:28,7,0,7,6
2015-05-08 15:42:29,8,0,7,7
2015-05-08 15:42:30,8,0,7,7
2015-05-08 15:42:31,2,2,8,7
2015-05-08 15:42:32,2,2,8,7
2015-05-08 15:42:33,2,2,8,7
2015-05-08 15:42:34,2,2,8,7
2015-05-08 15:42:35,2,2,8,7
2015-05-08 15:42:36,2,2,8,7
2015-05-08 15:42:37,2,2,3,7
2015-05-08 15:42:38,2,2,2,7
2015-05-08 15:42:39,3,2,1,7
2015-05-08 15:42:40,3,2,3,7
2015-05-08 15:42:41,3,2,3,7
