time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-08 15:53:57,0,0,0,0
2015-05-08 15:53:58,2,0,0,0
2015-05-08 15:53:59,2,0,0,0
2015-05-08 15:54:00,2,0,0,0
2015-05-08 15:54:01,2,4,0,0
2015-05-08 15:54:02,2,4,6,0
2015-05-08 15:54:03,2,4,2,0
2015-05-08 15:54:04,0,4,2,0
2015-05-08 15:54:05,0,4,2,0
2015-05-08 15:54:06,0,0,2,0
2015-05-08 15:54:07,0,0,2,0
2015-05-08 15:54:08,0,0,6,0
2015-05-08 15:54:09,0,2,0,0
2015-05-08 15:54:10,2,5,0,0
2015-05-08 15:54:11,2,5,0,0
2015-05-08 15:54:12,2,5,2,0
2015-05-08 15:54:13,2,5,2,0
2015-05-08 15:54:14,2,5,2,0
2015-05-08 15:54:15,2,5,2,0
2015-05-08 15:54:16,0,2,2,0
2015-05-08 15:54:17,0,2,2,0
2015-05-08 15:54:18,0,2,2,0
2015-05-08 15:54:19,0,2,2,0
2015-05-08 15:54:20,2,2,2,0
2015-05-08 15:54:21,2,2,2,0
2015-05-08 15:54:22,2,2,8,0
2015-05-08 15:54:23,2,2,4,0
2015-05-08 15:54:24,2,2,8,0
2015-05-08 15:54:25,3,2,8,0
2015-05-08 15:54:26,3,0,8,0
2015-05-08 15:54:27,3,0,8,0
2015-05-08 15:54:28,4,0,8,0
2015-05-08 15:54:29,4,0,8,0
2015-05-08 15:54:30,8,0,8,0
2015-05-08 15:54:31,4,2,8,0
2015-05-08 15:54:32,4,5,6,0
2015-05-08 15:54:33,4,5,6,0
2015-05-08 15:54:34,6,5,6,0
2015-05-08 15:54:35,6,5,6,0
2015-05-08 15:54:36,6,5,4,0
2015-05-08 15:54:37,6,5,7,0
2015-05-08 15:54:38,6,5,7,0
2015-05-08 15:54:39,6,2,7,0
2015-05-08 15:54:40,2,2,4,0
2015-05-08 15:54:41,0,2,2,0
2015-05-08 15:54:42,0,5,2,0
2015-05-08 15:54:43,0,5,2,0
2015-05-08 15:54:44,0,5,3,0
2015-05-08 15:54:45,2,5,3,0
2015-05-08 15:54:46,2,7,3,0
2015-05-08 15:54:47,2,7,3,0
2015-05-08 15:54:48,2,7,3,0
2015-05-08 15:54:49,2,7,3,0
2015-05-08 15:54:50,0,8,3,0
2015-05-08 15:54:51,0,0,3,0
2015-05-08 15:54:52,0,0,2,0
2015-05-08 15:54:53,0,2,2,0
2015-05-08 15:54:54,2,2,2,0
2015-05-08 15:54:55,2,2,2,0
2015-05-08 15:54:56,2,2,3,0
2015-05-08 15:54:57,2,2,3,0
2015-05-08 15:54:58,2,5,3,0
2015-05-08 15:54:59,2,5,3,0
2015-05-08 15:55:00,2,5,3,0
2015-05-08 15:55:01,2,5,3,0
2015-05-08 15:55:02,2,5,3,0
2015-05-08 15:55:03,2,5,3,0
2015-05-08 15:55:04,2,5,4,0
2015-05-08 15:55:05,8,5,4,0
2015-05-08 15:55:06,8,7,7,0
2015-05-08 15:55:07,8,4,7,0
2015-05-08 15:55:08,7,4,7,0
2015-05-08 15:55:09,7,7,7,0
2015-05-08 15:55:10,7,8,4,0
2015-05-08 15:55:11,7,8,4,0
2015-05-08 15:55:12,7,8,4,0
2015-05-08 15:55:13,7,8,0,0
2015-05-08 15:55:14,7,7,0,0
2015-05-08 15:55:15,7,5,0,0
2015-05-08 15:55:16,7,6,0,0
2015-05-08 15:55:17,7,6,0,0
