time,9A5116EA-2793-4C75-AC93-524C9EF550FD,24C41EC3-7ECC-40DA-B942-7ABE23017E74,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-05-08 16:08:10,0,0,0,0
2015-05-08 16:08:11,2,0,0,0
2015-05-08 16:08:12,7,0,0,0
2015-05-08 16:08:13,7,0,0,0
2015-05-08 16:08:14,7,0,0,0
2015-05-08 16:08:15,7,2,2,0
2015-05-08 16:08:16,7,2,5,0
2015-05-08 16:08:17,5,2,7,0
2015-05-08 16:08:18,5,2,7,0
2015-05-08 16:08:19,6,2,7,0
2015-05-08 16:08:20,6,0,7,2
2015-05-08 16:08:21,6,2,7,6
2015-05-08 16:08:22,6,6,7,7
2015-05-08 16:08:23,6,4,7,8
2015-05-08 16:08:24,0,4,7,8
2015-05-08 16:08:25,0,4,7,8
2015-05-08 16:08:26,0,7,7,8
2015-05-08 16:08:27,2,4,7,8
2015-05-08 16:08:28,6,7,7,8
2015-05-08 16:08:29,4,5,7,8
2015-05-08 16:08:30,4,5,7,8
2015-05-08 16:08:31,4,5,7,8
2015-05-08 16:08:32,4,5,7,8
2015-05-08 16:08:33,4,5,7,4
2015-05-08 16:08:34,4,5,7,4
2015-05-08 16:08:35,4,5,7,4
2015-05-08 16:08:36,7,5,7,7
2015-05-08 16:08:37,4,5,7,6
2015-05-08 16:08:38,4,2,7,6
2015-05-08 16:08:39,4,0,7,6
2015-05-08 16:08:40,4,0,7,6
2015-05-08 16:08:41,4,0,7,6
2015-05-08 16:08:42,3,0,7,6
2015-05-08 16:08:43,3,0,7,6
2015-05-08 16:08:44,3,0,7,7
2015-05-08 16:08:45,8,0,7,6
2015-05-08 16:08:46,3,6,7,6
2015-05-08 16:08:47,8,6,7,6
2015-05-08 16:08:48,3,8,7,6
2015-05-08 16:08:49,3,8,7,6
2015-05-08 16:08:50,3,8,7,6
2015-05-08 16:08:51,3,8,7,6
2015-05-08 16:08:52,3,8,7,6
2015-05-08 16:08:53,3,8,7,6
2015-05-08 16:08:54,3,8,7,6
2015-05-08 16:08:55,3,8,7,6
2015-05-08 16:08:56,3,8,7,6
2015-05-08 16:08:57,3,4,7,6
2015-05-08 16:08:58,3,4,7,6
2015-05-08 16:08:59,3,2,7,6
2015-05-08 16:09:00,3,8,7,6
2015-05-08 16:09:01,3,3,7,6
2015-05-08 16:09:02,3,3,7,6
2015-05-08 16:09:03,3,3,6,6
2015-05-08 16:09:04,4,3,6,6
2015-05-08 16:09:05,8,8,7,6
2015-05-08 16:09:06,3,7,7,6
2015-05-08 16:09:07,8,7,7,6
2015-05-08 16:09:08,8,7,4,6
2015-05-08 16:09:09,8,7,7,6
2015-05-08 16:09:10,8,3,5,6
2015-05-08 16:09:11,8,3,7,6
2015-05-08 16:09:12,8,3,7,6
2015-05-08 16:09:13,3,1,7,4
2015-05-08 16:09:14,3,3,7,3
2015-05-08 16:09:15,3,2,7,3
2015-05-08 16:09:16,3,2,7,1
2015-05-08 16:09:17,3,2,7,1
2015-05-08 16:09:18,4,2,4,2
2015-05-08 16:09:19,3,2,4,2
2015-05-08 16:09:20,8,2,7,2
2015-05-08 16:09:21,8,2,7,2
2015-05-08 16:09:22,4,2,7,2
2015-05-08 16:09:23,4,2,7,2
2015-05-08 16:09:24,7,2,7,2
2015-05-08 16:09:25,8,8,7,2
2015-05-08 16:09:26,8,4,7,2
2015-05-08 16:09:27,8,4,7,2
2015-05-08 16:09:28,8,4,7,1
2015-05-08 16:09:29,8,2,4,1
2015-05-08 16:09:30,8,2,4,1
2015-05-08 16:09:31,8,5,7,1
2015-05-08 16:09:32,8,3,7,1
2015-05-08 16:09:33,7,1,7,1
2015-05-08 16:09:34,4,1,7,1
2015-05-08 16:09:35,4,1,7,1
2015-05-08 16:09:36,4,1,7,1
2015-05-08 16:09:37,7,1,7,1
2015-05-08 16:09:38,7,1,7,1
2015-05-08 16:09:39,7,3,7,1
2015-05-08 16:09:40,4,2,7,1
2015-05-08 16:09:41,7,2,7,1
2015-05-08 16:09:42,7,2,7,1
2015-05-08 16:09:43,8,2,7,1
2015-05-08 16:09:44,8,2,7,3
2015-05-08 16:09:45,8,2,7,1
2015-05-08 16:09:46,7,2,7,1
2015-05-08 16:09:47,7,2,7,3
2015-05-08 16:09:48,8,2,7,3
2015-05-08 16:09:49,8,2,7,3
2015-05-08 16:09:50,8,2,7,3
2015-05-08 16:09:51,8,2,7,1
2015-05-08 16:09:52,8,2,7,3
2015-05-08 16:09:53,8,3,7,3
2015-05-08 16:09:54,8,3,7,3
2015-05-08 16:09:55,8,1,6,3
2015-05-08 16:09:56,8,1,6,3
2015-05-08 16:09:57,4,1,6,3
2015-05-08 16:09:58,4,3,6,3
2015-05-08 16:09:59,4,3,6,3
2015-05-08 16:10:00,4,1,7,3
2015-05-08 16:10:01,4,1,7,3
2015-05-08 16:10:02,4,1,7,3
2015-05-08 16:10:03,4,1,7,3
2015-05-08 16:10:04,4,1,7,3
2015-05-08 16:10:05,4,2,7,3
2015-05-08 16:10:06,6,0,7,3
2015-05-08 16:10:07,6,2,7,3
2015-05-08 16:10:08,7,3,7,3
2015-05-08 16:10:09,7,1,7,3
2015-05-08 16:10:10,7,1,7,3
2015-05-08 16:10:11,7,1,7,4
2015-05-08 16:10:12,7,8,7,6
2015-05-08 16:10:13,7,8,7,6
2015-05-08 16:10:14,7,8,7,6
2015-05-08 16:10:15,6,8,7,4
2015-05-08 16:10:16,6,8,7,4
2015-05-08 16:10:17,7,3,7,4
2015-05-08 16:10:18,7,3,7,7
2015-05-08 16:10:19,4,3,7,7
2015-05-08 16:10:20,4,3,7,7
2015-05-08 16:10:21,4,5,7,7
2015-05-08 16:10:22,4,5,7,7
2015-05-08 16:10:23,4,4,7,7
2015-05-08 16:10:24,6,4,7,7
2015-05-08 16:10:25,6,6,7,7
2015-05-08 16:10:26,8,8,6,7
2015-05-08 16:10:27,8,4,6,7
2015-05-08 16:10:28,8,7,6,7
2015-05-08 16:10:29,8,7,6,7
2015-05-08 16:10:30,8,7,6,7
