time,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-03 11:58:07,0,0
2015-06-03 11:58:08,2,0
2015-06-03 11:58:09,2,0
2015-06-03 11:58:10,2,0
2015-06-03 11:58:11,2,0
2015-06-03 11:58:12,2,0
2015-06-03 11:58:13,0,0
2015-06-03 11:58:14,0,0
2015-06-03 11:58:15,0,0
2015-06-03 11:58:16,0,0
2015-06-03 11:58:17,0,0
2015-06-03 11:58:18,0,0
2015-06-03 11:58:19,0,0
2015-06-03 11:58:20,0,0
2015-06-03 11:58:21,0,0
2015-06-03 11:58:22,1,0
2015-06-03 11:58:23,1,0
2015-06-03 11:58:24,2,0
2015-06-03 11:58:25,2,0
2015-06-03 11:58:26,2,0
2015-06-03 11:58:27,2,0
2015-06-03 11:58:28,2,2
2015-06-03 11:58:29,2,1
2015-06-03 11:58:30,2,1
2015-06-03 11:58:31,2,1
2015-06-03 11:58:32,0,1
2015-06-03 11:58:33,0,1
2015-06-03 11:58:34,8,1
2015-06-03 11:58:35,8,3
2015-06-03 11:58:36,8,8
2015-06-03 11:58:37,3,7
2015-06-03 11:58:38,3,7
2015-06-03 11:58:39,3,7
2015-06-03 11:58:40,2,7
2015-06-03 11:58:41,2,8
2015-06-03 11:58:42,2,0
2015-06-03 11:58:43,2,0
2015-06-03 11:58:44,0,0
2015-06-03 11:58:45,0,0
2015-06-03 11:58:46,0,0
2015-06-03 11:58:47,0,0
2015-06-03 11:58:48,0,0
2015-06-03 11:58:49,0,0
2015-06-03 11:58:50,0,0
2015-06-03 11:58:51,2,0
2015-06-03 11:58:52,2,0
2015-06-03 11:58:53,1,0
2015-06-03 11:58:54,1,0
2015-06-03 11:58:55,1,0
2015-06-03 11:58:56,1,0
2015-06-03 11:58:57,1,0
2015-06-03 11:58:58,2,0
2015-06-03 11:58:59,2,0
2015-06-03 11:59:00,1,0
2015-06-03 11:59:01,1,0
2015-06-03 11:59:02,3,0
2015-06-03 11:59:03,3,0
2015-06-03 11:59:04,4,0
2015-06-03 11:59:05,4,0
2015-06-03 11:59:06,4,0
2015-06-03 11:59:07,4,0
2015-06-03 11:59:08,3,0
2015-06-03 11:59:09,3,0
2015-06-03 11:59:10,3,0
2015-06-03 11:59:11,1,0
2015-06-03 11:59:12,1,0
2015-06-03 11:59:13,1,0
2015-06-03 11:59:14,1,0
2015-06-03 11:59:15,1,2
2015-06-03 11:59:16,1,8
2015-06-03 11:59:17,1,8
2015-06-03 11:59:18,3,8
2015-06-03 11:59:19,3,8
2015-06-03 11:59:20,3,3
2015-06-03 11:59:21,1,3
2015-06-03 11:59:22,3,3
2015-06-03 11:59:23,3,3
2015-06-03 11:59:24,3,3
2015-06-03 11:59:25,3,8
2015-06-03 11:59:26,4,8
2015-06-03 11:59:27,7,7
2015-06-03 11:59:28,7,7
2015-06-03 11:59:29,7,4
2015-06-03 11:59:30,7,4
2015-06-03 11:59:31,4,7
2015-06-03 11:59:32,4,4
2015-06-03 11:59:33,4,4
2015-06-03 11:59:34,4,4
2015-06-03 11:59:35,3,8
2015-06-03 11:59:36,4,5
2015-06-03 11:59:37,4,4
2015-06-03 11:59:38,3,4
2015-06-03 11:59:39,3,4
2015-06-03 11:59:40,3,4
2015-06-03 11:59:41,1,6
2015-06-03 11:59:42,1,6
2015-06-03 11:59:43,1,4
2015-06-03 11:59:44,1,4
2015-06-03 11:59:45,1,4
2015-06-03 11:59:46,1,7
2015-06-03 11:59:47,1,7
2015-06-03 11:59:48,1,7
2015-06-03 11:59:49,1,7
2015-06-03 11:59:50,1,7
2015-06-03 11:59:51,1,7
2015-06-03 11:59:52,1,7
2015-06-03 11:59:53,1,7
2015-06-03 11:59:54,1,7
2015-06-03 11:59:55,1,7
2015-06-03 11:59:56,1,4
2015-06-03 11:59:57,1,4
2015-06-03 11:59:58,2,4
2015-06-03 11:59:59,2,4
2015-06-03 12:00:00,1,4
2015-06-03 12:00:01,3,4
2015-06-03 12:00:02,1,4
2015-06-03 12:00:03,1,4
2015-06-03 12:00:04,1,7
2015-06-03 12:00:05,1,7
2015-06-03 12:00:06,1,7
2015-06-03 12:00:07,1,7
2015-06-03 12:00:08,1,7
2015-06-03 12:00:09,2,7
2015-06-03 12:00:10,2,7
2015-06-03 12:00:11,3,7
2015-06-03 12:00:12,1,7
2015-06-03 12:00:13,1,7
2015-06-03 12:00:14,1,7
2015-06-03 12:00:15,1,7
2015-06-03 12:00:16,1,7
2015-06-03 12:00:17,3,7
2015-06-03 12:00:18,3,5
2015-06-03 12:00:19,3,7
2015-06-03 12:00:20,3,7
2015-06-03 12:00:21,3,7
2015-06-03 12:00:22,3,7
2015-06-03 12:00:23,3,7
2015-06-03 12:00:24,2,7
2015-06-03 12:00:25,0,7
2015-06-03 12:00:26,0,7
2015-06-03 12:00:27,0,7
2015-06-03 12:00:28,0,7
2015-06-03 12:00:29,0,7
2015-06-03 12:00:30,0,7
2015-06-03 12:00:31,0,7
2015-06-03 12:00:32,0,7
2015-06-03 12:00:33,0,6
2015-06-03 12:00:34,0,4
2015-06-03 12:00:35,0,2
2015-06-03 12:00:36,0,6
2015-06-03 12:00:37,0,6
2015-06-03 12:00:38,0,6
2015-06-03 12:00:39,0,6
2015-06-03 12:00:40,0,6
2015-06-03 12:00:41,0,6
2015-06-03 12:00:42,0,6
2015-06-03 12:00:43,0,6
2015-06-03 12:00:44,0,2
2015-06-03 12:00:45,0,4
2015-06-03 12:00:46,0,4
2015-06-03 12:00:47,0,4
2015-06-03 12:00:48,0,4
2015-06-03 12:00:49,0,8
2015-06-03 12:00:50,0,8
2015-06-03 12:00:51,0,8
2015-06-03 12:00:52,0,8
2015-06-03 12:00:53,0,7
2015-06-03 12:00:54,0,7
2015-06-03 12:00:55,0,8
2015-06-03 12:00:56,0,8
2015-06-03 12:00:57,0,4
2015-06-03 12:00:58,0,4
2015-06-03 12:00:59,0,7
2015-06-03 12:01:00,0,7
2015-06-03 12:01:01,0,7
2015-06-03 12:01:02,0,4
2015-06-03 12:01:03,0,4
2015-06-03 12:01:04,0,6
2015-06-03 12:01:05,0,6
2015-06-03 12:01:06,0,6
2015-06-03 12:01:07,0,6
2015-06-03 12:01:08,0,6
2015-06-03 12:01:09,0,6
2015-06-03 12:01:10,0,6
2015-06-03 12:01:11,0,6
2015-06-03 12:01:12,0,8
2015-06-03 12:01:13,0,8
2015-06-03 12:01:14,0,8
2015-06-03 12:01:15,0,8
2015-06-03 12:01:16,0,8
2015-06-03 12:01:17,0,8
2015-06-03 12:01:18,0,6
2015-06-03 12:01:19,0,6
2015-06-03 12:01:20,0,6
2015-06-03 12:01:21,0,6
2015-06-03 12:01:22,0,6
2015-06-03 12:01:23,0,6
2015-06-03 12:01:24,0,6
2015-06-03 12:01:25,0,6
2015-06-03 12:01:26,0,4
2015-06-03 12:01:27,0,4
2015-06-03 12:01:28,0,4
2015-06-03 12:01:29,0,6
