time,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-03 12:56:45,0,0
2015-06-03 12:56:46,2,0
2015-06-03 12:56:47,2,0
2015-06-03 12:56:48,2,0
2015-06-03 12:56:49,1,0
2015-06-03 12:56:50,1,0
2015-06-03 12:56:51,1,0
2015-06-03 12:56:52,1,0
2015-06-03 12:56:53,1,0
2015-06-03 12:56:54,1,0
2015-06-03 12:56:55,1,0
2015-06-03 12:56:56,1,0
2015-06-03 12:56:57,4,0
2015-06-03 12:56:58,4,0
2015-06-03 12:56:59,4,0
2015-06-03 12:57:00,4,0
2015-06-03 12:57:01,4,4
2015-06-03 12:57:02,3,4
2015-06-03 12:57:03,0,4
2015-06-03 12:57:04,0,4
2015-06-03 12:57:05,0,4
2015-06-03 12:57:06,0,4
2015-06-03 12:57:07,0,4
2015-06-03 12:57:08,0,7
2015-06-03 12:57:09,0,8
2015-06-03 12:57:10,0,8
2015-06-03 12:57:11,0,8
2015-06-03 12:57:12,0,8
2015-06-03 12:57:13,0,8
2015-06-03 12:57:14,2,8
2015-06-03 12:57:15,3,8
2015-06-03 12:57:16,4,8
2015-06-03 12:57:17,8,8
2015-06-03 12:57:18,8,8
2015-06-03 12:57:19,7,8
2015-06-03 12:57:20,6,8
2015-06-03 12:57:21,4,7
2015-06-03 12:57:22,4,8
2015-06-03 12:57:23,4,8
2015-06-03 12:57:24,4,8
2015-06-03 12:57:25,4,8
2015-06-03 12:57:26,4,8
2015-06-03 12:57:27,4,8
2015-06-03 12:57:28,4,3
2015-06-03 12:57:29,0,3
2015-06-03 12:57:30,0,3
2015-06-03 12:57:31,0,3
2015-06-03 12:57:32,0,3
2015-06-03 12:57:33,0,8
2015-06-03 12:57:34,0,8
2015-06-03 12:57:35,0,7
2015-06-03 12:57:36,0,2
2015-06-03 12:57:37,0,0
2015-06-03 12:57:38,0,0
2015-06-03 12:57:39,0,0
2015-06-03 12:57:40,8,0
2015-06-03 12:57:41,8,0
2015-06-03 12:57:42,7,0
2015-06-03 12:57:43,4,0
2015-06-03 12:57:44,8,0
2015-06-03 12:57:45,7,0
2015-06-03 12:57:46,7,0
2015-06-03 12:57:47,7,0
2015-06-03 12:57:48,7,0
2015-06-03 12:57:49,7,0
2015-06-03 12:57:50,4,0
2015-06-03 12:57:51,4,0
2015-06-03 12:57:52,4,0
2015-06-03 12:57:53,3,0
2015-06-03 12:57:54,4,0
2015-06-03 12:57:55,4,0
2015-06-03 12:57:56,8,0
2015-06-03 12:57:57,8,0
2015-06-03 12:57:58,7,0
2015-06-03 12:57:59,7,2
2015-06-03 12:58:00,8,1
2015-06-03 12:58:01,4,1
2015-06-03 12:58:02,4,1
2015-06-03 12:58:03,3,1
2015-06-03 12:58:04,3,1
2015-06-03 12:58:05,3,1
2015-06-03 12:58:06,3,1
2015-06-03 12:58:07,3,3
2015-06-03 12:58:08,4,1
2015-06-03 12:58:09,4,8
2015-06-03 12:58:10,4,2
2015-06-03 12:58:11,6,0
2015-06-03 12:58:12,6,0
2015-06-03 12:58:13,0,0
2015-06-03 12:58:14,0,0
2015-06-03 12:58:15,0,0
2015-06-03 12:58:16,0,0
2015-06-03 12:58:17,2,0
2015-06-03 12:58:18,2,0
2015-06-03 12:58:19,4,0
2015-06-03 12:58:20,4,0
2015-06-03 12:58:21,4,0
2015-06-03 12:58:22,4,0
2015-06-03 12:58:23,4,0
2015-06-03 12:58:24,2,0
2015-06-03 12:58:25,0,0
2015-06-03 12:58:26,0,0
2015-06-03 12:58:27,0,0
2015-06-03 12:58:28,0,0
2015-06-03 12:58:29,0,0
2015-06-03 12:58:30,0,0
2015-06-03 12:58:31,0,0
2015-06-03 12:58:32,0,0
2015-06-03 12:58:33,0,6
2015-06-03 12:58:34,0,2
2015-06-03 12:58:35,0,2
2015-06-03 12:58:36,0,2
2015-06-03 12:58:37,0,2
2015-06-03 12:58:38,0,2
2015-06-03 12:58:39,0,0
2015-06-03 12:58:40,0,0
2015-06-03 12:58:41,0,0
2015-06-03 12:58:42,0,0
2015-06-03 12:58:43,0,2
2015-06-03 12:58:44,0,2
2015-06-03 12:58:45,0,2
2015-06-03 12:58:46,0,2
2015-06-03 12:58:47,0,2
2015-06-03 12:58:48,0,2
2015-06-03 12:58:49,0,2
2015-06-03 12:58:50,0,2
2015-06-03 12:58:51,0,2
2015-06-03 12:58:52,0,2
2015-06-03 12:58:53,2,2
2015-06-03 12:58:54,2,2
2015-06-03 12:58:55,2,3
2015-06-03 12:58:56,2,4
2015-06-03 12:58:57,2,4
2015-06-03 12:58:58,2,4
2015-06-03 12:58:59,2,8
2015-06-03 12:59:00,2,8
2015-06-03 12:59:01,2,4
2015-06-03 12:59:02,1,4
2015-06-03 12:59:03,1,4
2015-06-03 12:59:04,1,3
2015-06-03 12:59:05,1,2
2015-06-03 12:59:06,1,2
2015-06-03 12:59:07,1,1
2015-06-03 12:59:08,1,1
2015-06-03 12:59:09,1,5
2015-06-03 12:59:10,1,5
2015-06-03 12:59:11,1,5
2015-06-03 12:59:12,1,5
2015-06-03 12:59:13,1,5
2015-06-03 12:59:14,1,5
2015-06-03 12:59:15,1,5
2015-06-03 12:59:16,0,5
2015-06-03 12:59:17,0,3
2015-06-03 12:59:18,0,2
2015-06-03 12:59:19,0,2
2015-06-03 12:59:20,0,5
2015-06-03 12:59:21,0,0
2015-06-03 12:59:22,0,0
