time,BD49B35A-8999-4987-9759-8D3F28D1292B,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4
2015-06-03 13:21:44,0,0
2015-06-03 13:21:45,2,0
2015-06-03 13:21:46,8,0
2015-06-03 13:21:47,8,0
2015-06-03 13:21:48,4,0
2015-06-03 13:21:49,8,0
2015-06-03 13:21:50,8,0
2015-06-03 13:21:51,3,0
2015-06-03 13:21:52,3,0
2015-06-03 13:21:53,3,0
2015-06-03 13:21:54,3,0
2015-06-03 13:21:55,3,0
2015-06-03 13:21:56,3,0
2015-06-03 13:21:57,8,0
2015-06-03 13:21:58,7,0
2015-06-03 13:21:59,7,0
2015-06-03 13:22:00,7,0
2015-06-03 13:22:01,7,0
2015-06-03 13:22:02,7,0
2015-06-03 13:22:03,4,0
2015-06-03 13:22:04,3,0
2015-06-03 13:22:05,0,0
2015-06-03 13:22:06,0,2
2015-06-03 13:22:07,0,2
2015-06-03 13:22:08,0,2
2015-06-03 13:22:09,0,2
2015-06-03 13:22:10,0,5
2015-06-03 13:22:11,0,5
2015-06-03 13:22:12,0,5
2015-06-03 13:22:13,0,8
2015-06-03 13:22:14,0,8
2015-06-03 13:22:15,0,8
2015-06-03 13:22:16,0,8
2015-06-03 13:22:17,0,7
2015-06-03 13:22:18,0,7
2015-06-03 13:22:19,0,8
2015-06-03 13:22:20,0,8
2015-06-03 13:22:21,0,8
2015-06-03 13:22:22,0,8
2015-06-03 13:22:23,0,7
2015-06-03 13:22:24,0,4
2015-06-03 13:22:25,0,8
2015-06-03 13:22:26,0,7
2015-06-03 13:22:27,0,7
2015-06-03 13:22:28,0,7
2015-06-03 13:22:29,0,7
2015-06-03 13:22:30,0,8
2015-06-03 13:22:31,0,8
2015-06-03 13:22:32,2,8
2015-06-03 13:22:33,6,7
2015-06-03 13:22:34,6,8
2015-06-03 13:22:35,7,7
2015-06-03 13:22:36,7,7
2015-06-03 13:22:37,7,7
2015-06-03 13:22:38,7,7
2015-06-03 13:22:39,7,7
2015-06-03 13:22:40,4,6
2015-06-03 13:22:41,4,4
2015-06-03 13:22:42,4,4
2015-06-03 13:22:43,0,7
2015-06-03 13:22:44,0,4
2015-06-03 13:22:45,3,4
2015-06-03 13:22:46,4,6
2015-06-03 13:22:47,4,6
2015-06-03 13:22:48,4,7
2015-06-03 13:22:49,6,6
2015-06-03 13:22:50,6,6
2015-06-03 13:22:51,6,6
2015-06-03 13:22:52,7,7
2015-06-03 13:22:53,4,4
2015-06-03 13:22:54,4,4
2015-06-03 13:22:55,4,4
2015-06-03 13:22:56,4,4
2015-06-03 13:22:57,0,0
2015-06-03 13:22:58,0,0
2015-06-03 13:22:59,0,0
2015-06-03 13:23:00,0,0
2015-06-03 13:23:01,0,0
2015-06-03 13:23:02,0,0
2015-06-03 13:23:03,0,0
2015-06-03 13:23:04,0,0
2015-06-03 13:23:05,0,0
2015-06-03 13:23:06,0,0
2015-06-03 13:23:07,0,0
2015-06-03 13:23:08,0,0
2015-06-03 13:23:09,0,0
2015-06-03 13:23:10,0,4
2015-06-03 13:23:11,0,4
2015-06-03 13:23:12,0,4
2015-06-03 13:23:13,0,4
2015-06-03 13:23:14,0,4
2015-06-03 13:23:15,0,4
2015-06-03 13:23:16,0,4
2015-06-03 13:23:17,0,4
2015-06-03 13:23:18,0,3
2015-06-03 13:23:19,2,3
2015-06-03 13:23:20,2,1
2015-06-03 13:23:21,2,3
2015-06-03 13:23:22,2,1
2015-06-03 13:23:23,2,1
2015-06-03 13:23:24,2,1
2015-06-03 13:23:25,0,1
2015-06-03 13:23:26,0,8
2015-06-03 13:23:27,0,1
2015-06-03 13:23:28,0,3
2015-06-03 13:23:29,0,3
2015-06-03 13:23:30,0,4
2015-06-03 13:23:31,0,4
2015-06-03 13:23:32,0,7
2015-06-03 13:23:33,0,7
2015-06-03 13:23:34,0,8
2015-06-03 13:23:35,0,8
2015-06-03 13:23:36,0,8
2015-06-03 13:23:37,0,8
2015-06-03 13:23:38,0,8
2015-06-03 13:23:39,0,8
2015-06-03 13:23:40,2,8
2015-06-03 13:23:41,8,4
2015-06-03 13:23:42,8,4
2015-06-03 13:23:43,8,2
2015-06-03 13:23:44,8,2
2015-06-03 13:23:45,4,2
2015-06-03 13:23:46,0,2
2015-06-03 13:23:47,0,2
2015-06-03 13:23:48,0,0
2015-06-03 13:23:49,0,0
2015-06-03 13:23:50,0,0
2015-06-03 13:23:51,0,0
2015-06-03 13:23:52,0,0
2015-06-03 13:23:53,0,0
2015-06-03 13:23:54,0,0
2015-06-03 13:23:55,0,0
2015-06-03 13:23:56,0,0
2015-06-03 13:23:57,0,0
2015-06-03 13:23:58,0,0
2015-06-03 13:23:59,0,0
2015-06-03 13:24:00,0,0
2015-06-03 13:24:01,0,0
2015-06-03 13:24:02,0,0
2015-06-03 13:24:03,0,0
2015-06-03 13:24:04,0,0
2015-06-03 13:24:05,0,0
2015-06-03 13:24:06,0,2
2015-06-03 13:24:07,0,2
2015-06-03 13:24:08,0,2
2015-06-03 13:24:09,0,2
2015-06-03 13:24:10,0,2
2015-06-03 13:24:11,0,0
2015-06-03 13:24:12,0,0
2015-06-03 13:24:13,0,0
2015-06-03 13:24:14,2,0
2015-06-03 13:24:15,4,0
2015-06-03 13:24:16,4,0
2015-06-03 13:24:17,3,0
2015-06-03 13:24:18,7,0
2015-06-03 13:24:19,7,0
2015-06-03 13:24:20,7,0
2015-06-03 13:24:21,0,0
2015-06-03 13:24:22,0,0
2015-06-03 13:24:23,0,0
2015-06-03 13:24:24,0,6
2015-06-03 13:24:25,0,4
2015-06-03 13:24:26,0,7
2015-06-03 13:24:27,0,7
2015-06-03 13:24:28,0,8
2015-06-03 13:24:29,0,8
2015-06-03 13:24:30,0,8
2015-06-03 13:24:31,0,8
2015-06-03 13:24:32,0,8
2015-06-03 13:24:33,0,8
2015-06-03 13:24:34,0,7
2015-06-03 13:24:35,0,7
2015-06-03 13:24:36,0,4
2015-06-03 13:24:37,0,4
2015-06-03 13:24:38,0,0
2015-06-03 13:24:39,0,0
2015-06-03 13:24:40,0,0
2015-06-03 13:24:41,0,0
2015-06-03 13:24:42,0,0
2015-06-03 13:24:43,0,0
2015-06-03 13:24:44,0,0
2015-06-03 13:24:45,0,0
2015-06-03 13:24:46,0,0
2015-06-03 13:24:47,0,0
2015-06-03 13:24:48,0,0
2015-06-03 13:24:49,0,0
2015-06-03 13:24:50,0,0
2015-06-03 13:24:51,0,0
2015-06-03 13:24:52,0,0
2015-06-03 13:24:53,0,0
2015-06-03 13:24:54,0,0
2015-06-03 13:24:55,0,0
2015-06-03 13:24:56,0,0
2015-06-03 13:24:57,0,0
2015-06-03 13:24:58,0,0
2015-06-03 13:24:59,0,0
2015-06-03 13:25:00,0,0
2015-06-03 13:25:01,0,0
2015-06-03 13:25:02,0,0
2015-06-03 13:25:03,0,0
2015-06-03 13:25:04,0,0
2015-06-03 13:25:05,0,0
2015-06-03 13:25:06,0,0
2015-06-03 13:25:07,0,0
2015-06-03 13:25:08,0,0
2015-06-03 13:25:09,0,0
2015-06-03 13:25:10,0,0
2015-06-03 13:25:11,0,0
2015-06-03 13:25:12,0,0
2015-06-03 13:25:13,0,0
2015-06-03 13:25:14,0,0
2015-06-03 13:25:15,0,0
2015-06-03 13:25:16,0,0
2015-06-03 13:25:17,0,0
2015-06-03 13:25:18,0,0
2015-06-03 13:25:19,0,0
2015-06-03 13:25:20,0,0
2015-06-03 13:25:21,0,0
2015-06-03 13:25:22,0,0
2015-06-03 13:25:23,0,0
2015-06-03 13:25:24,0,0
2015-06-03 13:25:25,0,0
2015-06-03 13:25:26,0,0
2015-06-03 13:25:27,0,0
2015-06-03 13:25:28,0,0
2015-06-03 13:25:29,0,0
2015-06-03 13:25:30,0,0
2015-06-03 13:25:31,0,0
2015-06-03 13:25:32,0,0
2015-06-03 13:25:33,0,0
2015-06-03 13:25:34,0,0
2015-06-03 13:25:35,0,0
2015-06-03 13:25:36,0,0
2015-06-03 13:25:37,0,0
2015-06-03 13:25:38,0,0
2015-06-03 13:25:39,0,0
2015-06-03 13:25:40,0,0
2015-06-03 13:25:41,0,0
2015-06-03 13:25:42,0,0
2015-06-03 13:25:43,0,0
2015-06-03 13:25:44,0,0
2015-06-03 13:25:45,0,0
2015-06-03 13:25:46,0,0
2015-06-03 13:25:47,0,0
2015-06-03 13:25:48,0,0
2015-06-03 13:25:49,0,0
2015-06-03 13:25:50,0,0
2015-06-03 13:25:51,0,0
2015-06-03 13:25:52,0,0
2015-06-03 13:25:53,0,0
2015-06-03 13:25:54,0,0
2015-06-03 13:25:55,0,0
2015-06-03 13:25:56,0,0
2015-06-03 13:25:57,0,0
2015-06-03 13:25:58,0,0
2015-06-03 13:25:59,0,0
2015-06-03 13:26:00,0,0
2015-06-03 13:26:01,0,0
2015-06-03 13:26:02,0,6
2015-06-03 13:26:03,0,7
2015-06-03 13:26:04,0,7
2015-06-03 13:26:05,0,7
2015-06-03 13:26:06,0,7
2015-06-03 13:26:07,0,7
2015-06-03 13:26:08,0,7
2015-06-03 13:26:09,0,4
2015-06-03 13:26:10,0,7
2015-06-03 13:26:11,0,7
2015-06-03 13:26:12,0,4
2015-06-03 13:26:13,0,4
2015-06-03 13:26:14,0,4
2015-06-03 13:26:15,0,6
2015-06-03 13:26:16,0,0
2015-06-03 13:26:17,0,0
