time,BD49B35A-8999-4987-9759-8D3F28D1292B,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4
2015-06-03 14:25:30,0,0
2015-06-03 14:25:31,2,0
2015-06-03 14:25:32,3,0
2015-06-03 14:25:33,4,0
2015-06-03 14:25:34,4,0
2015-06-03 14:25:35,4,0
2015-06-03 14:25:36,7,0
2015-06-03 14:25:37,7,0
2015-06-03 14:25:38,3,0
2015-06-03 14:25:39,3,0
2015-06-03 14:25:40,3,0
2015-06-03 14:25:41,3,0
2015-06-03 14:25:42,3,0
2015-06-03 14:25:43,3,0
2015-06-03 14:25:44,1,0
2015-06-03 14:25:45,1,0
2015-06-03 14:25:46,1,0
2015-06-03 14:25:47,1,0
2015-06-03 14:25:48,1,0
2015-06-03 14:25:49,1,0
2015-06-03 14:25:50,1,0
2015-06-03 14:25:51,3,0
2015-06-03 14:25:52,3,0
2015-06-03 14:25:53,3,0
2015-06-03 14:25:54,3,0
2015-06-03 14:25:55,3,0
2015-06-03 14:25:56,3,0
2015-06-03 14:25:57,3,0
2015-06-03 14:25:58,7,0
2015-06-03 14:25:59,4,0
2015-06-03 14:26:00,4,0
2015-06-03 14:26:01,4,0
2015-06-03 14:26:02,4,0
2015-06-03 14:26:03,6,0
2015-06-03 14:26:04,4,0
2015-06-03 14:26:05,0,0
2015-06-03 14:26:06,0,0
2015-06-03 14:26:07,0,0
2015-06-03 14:26:08,0,0
2015-06-03 14:26:09,0,0
2015-06-03 14:26:10,0,0
2015-06-03 14:26:11,0,0
2015-06-03 14:26:12,0,0
2015-06-03 14:26:13,0,0
2015-06-03 14:26:14,0,0
2015-06-03 14:26:15,0,0
2015-06-03 14:26:16,0,0
2015-06-03 14:26:17,0,0
2015-06-03 14:26:18,0,0
2015-06-03 14:26:19,0,0
2015-06-03 14:26:20,0,0
2015-06-03 14:26:21,0,0
2015-06-03 14:26:22,0,0
2015-06-03 14:26:23,0,0
2015-06-03 14:26:24,0,0
2015-06-03 14:26:25,0,0
2015-06-03 14:26:26,0,0
2015-06-03 14:26:27,0,0
2015-06-03 14:26:28,0,0
2015-06-03 14:26:29,0,0
2015-06-03 14:26:30,0,0
2015-06-03 14:26:31,0,0
2015-06-03 14:26:32,0,0
2015-06-03 14:26:33,0,0
2015-06-03 14:26:34,0,0
2015-06-03 14:26:35,0,0
2015-06-03 14:26:36,0,0
2015-06-03 14:26:37,0,0
2015-06-03 14:26:38,0,0
2015-06-03 14:26:39,0,0
2015-06-03 14:26:40,0,0
2015-06-03 14:26:41,0,0
2015-06-03 14:26:42,0,0
2015-06-03 14:26:43,0,0
2015-06-03 14:26:44,0,0
2015-06-03 14:26:45,0,0
2015-06-03 14:26:46,0,0
2015-06-03 14:26:47,0,0
2015-06-03 14:26:48,0,0
2015-06-03 14:26:49,0,0
2015-06-03 14:26:50,0,0
2015-06-03 14:26:51,0,0
2015-06-03 14:26:52,0,0
2015-06-03 14:26:53,0,0
2015-06-03 14:26:54,0,0
2015-06-03 14:26:55,0,0
2015-06-03 14:26:56,0,0
2015-06-03 14:26:57,0,0
2015-06-03 14:26:58,0,0
2015-06-03 14:26:59,0,0
2015-06-03 14:27:00,0,0
2015-06-03 14:27:01,0,0
2015-06-03 14:27:02,0,0
2015-06-03 14:27:03,0,0
2015-06-03 14:27:04,0,0
2015-06-03 14:27:05,0,0
2015-06-03 14:27:06,0,0
2015-06-03 14:27:07,0,0
2015-06-03 14:27:08,0,0
2015-06-03 14:27:09,0,0
2015-06-03 14:27:10,0,0
2015-06-03 14:27:11,0,0
2015-06-03 14:27:12,0,0
2015-06-03 14:27:13,0,0
2015-06-03 14:27:14,0,0
2015-06-03 14:27:15,0,0
2015-06-03 14:27:16,0,0
2015-06-03 14:27:17,0,0
2015-06-03 14:27:18,0,0
2015-06-03 14:27:19,0,0
2015-06-03 14:27:20,0,0
2015-06-03 14:27:21,0,0
2015-06-03 14:27:22,0,0
2015-06-03 14:27:23,0,0
2015-06-03 14:27:24,0,0
2015-06-03 14:27:25,0,0
2015-06-03 14:27:26,0,0
2015-06-03 14:27:27,0,0
2015-06-03 14:27:28,0,0
2015-06-03 14:27:29,0,0
2015-06-03 14:27:30,0,0
2015-06-03 14:27:31,0,0
2015-06-03 14:27:32,0,0
2015-06-03 14:27:33,0,0
2015-06-03 14:27:34,0,0
2015-06-03 14:27:35,0,0
2015-06-03 14:27:36,0,0
2015-06-03 14:27:37,0,0
2015-06-03 14:27:38,0,0
2015-06-03 14:27:39,0,0
2015-06-03 14:27:40,0,0
2015-06-03 14:27:41,0,0
2015-06-03 14:27:42,0,0
2015-06-03 14:27:43,0,0
2015-06-03 14:27:44,0,0
2015-06-03 14:27:45,2,0
2015-06-03 14:27:46,5,0
2015-06-03 14:27:47,5,0
2015-06-03 14:27:48,5,0
2015-06-03 14:27:49,5,0
2015-06-03 14:27:50,3,0
2015-06-03 14:27:51,3,0
2015-06-03 14:27:52,3,0
2015-06-03 14:27:53,3,2
2015-06-03 14:27:54,8,2
2015-06-03 14:27:55,8,8
2015-06-03 14:27:56,8,8
2015-06-03 14:27:57,7,8
2015-06-03 14:27:58,8,7
