time,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-06-22 14:41:54,0,0
2015-06-22 14:41:55,2,0
2015-06-22 14:41:56,2,0
2015-06-22 14:41:57,2,2
2015-06-22 14:41:58,2,2
2015-06-22 14:41:59,2,2
2015-06-22 14:42:00,2,2
2015-06-22 14:42:01,2,2
2015-06-22 14:42:02,2,2
2015-06-22 14:42:03,2,2
2015-06-22 14:42:04,2,2
2015-06-22 14:42:05,2,2
2015-06-22 14:42:06,2,2
2015-06-22 14:42:07,2,2
2015-06-22 14:42:08,2,2
2015-06-22 14:42:09,2,5
2015-06-22 14:42:10,2,5
2015-06-22 14:42:11,2,5
2015-06-22 14:42:12,2,5
2015-06-22 14:42:13,2,5
2015-06-22 14:42:14,8,5
2015-06-22 14:42:15,8,5
2015-06-22 14:42:16,7,2
2015-06-22 14:42:17,7,6
2015-06-22 14:42:18,7,6
2015-06-22 14:42:19,6,6
2015-06-22 14:42:20,6,8
2015-06-22 14:42:21,2,8
2015-06-22 14:42:22,2,2
2015-06-22 14:42:23,2,2
2015-06-22 14:42:24,2,2
2015-06-22 14:42:25,6,2
2015-06-22 14:42:26,6,2
2015-06-22 14:42:27,6,2
2015-06-22 14:42:28,2,2
2015-06-22 14:42:29,2,2
2015-06-22 14:42:30,2,2
2015-06-22 14:42:31,2,2
2015-06-22 14:42:32,2,2
2015-06-22 14:42:33,2,2
2015-06-22 14:42:34,2,2
2015-06-22 14:42:35,2,2
2015-06-22 14:42:36,2,3
2015-06-22 14:42:37,2,4
2015-06-22 14:42:38,2,4
2015-06-22 14:42:39,2,4
2015-06-22 14:42:40,2,4
2015-06-22 14:42:41,2,4
2015-06-22 14:42:42,2,4
2015-06-22 14:42:43,2,4
2015-06-22 14:42:44,2,4
2015-06-22 14:42:45,2,4
2015-06-22 14:42:46,2,4
2015-06-22 14:42:47,2,4
2015-06-22 14:42:48,2,4
2015-06-22 14:42:49,2,4
2015-06-22 14:42:50,2,7
2015-06-22 14:42:51,2,7
2015-06-22 14:42:52,2,6
2015-06-22 14:42:53,8,4
2015-06-22 14:42:54,8,4
2015-06-22 14:42:55,6,4
2015-06-22 14:42:56,8,4
2015-06-22 14:42:57,8,2
2015-06-22 14:42:58,8,2
2015-06-22 14:42:59,8,2
2015-06-22 14:43:00,7,2
2015-06-22 14:43:01,7,2
2015-06-22 14:43:02,0,2
2015-06-22 14:43:03,0,2
2015-06-22 14:43:04,0,4
2015-06-22 14:43:05,0,8
2015-06-22 14:43:06,2,8
2015-06-22 14:43:07,2,8
2015-06-22 14:43:08,2,5
2015-06-22 14:43:09,2,1
2015-06-22 14:43:10,2,2
2015-06-22 14:43:11,4,2
2015-06-22 14:43:12,8,1
2015-06-22 14:43:13,8,1
2015-06-22 14:43:14,8,1
2015-06-22 14:43:15,2,1
2015-06-22 14:43:16,2,1
2015-06-22 14:43:17,0,1
2015-06-22 14:43:18,0,1
2015-06-22 14:43:19,0,1
2015-06-22 14:43:20,0,1
2015-06-22 14:43:21,0,0
