time,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-22 14:50:19,0,0
2015-06-22 14:50:20,2,0
2015-06-22 14:50:21,2,2
2015-06-22 14:50:22,2,7
2015-06-22 14:50:23,2,7
2015-06-22 14:50:24,2,7
2015-06-22 14:50:25,2,7
2015-06-22 14:50:26,2,6
2015-06-22 14:50:27,2,6
2015-06-22 14:50:28,2,8
2015-06-22 14:50:29,2,8
2015-06-22 14:50:30,2,6
2015-06-22 14:50:31,2,5
2015-06-22 14:50:32,2,5
2015-06-22 14:50:33,2,5
2015-06-22 14:50:34,2,5
2015-06-22 14:50:35,2,5
2015-06-22 14:50:36,0,8
2015-06-22 14:50:37,2,8
2015-06-22 14:50:38,7,4
2015-06-22 14:50:39,7,7
2015-06-22 14:50:40,7,7
2015-06-22 14:50:41,7,7
2015-06-22 14:50:42,7,7
2015-06-22 14:50:43,7,6
2015-06-22 14:50:44,7,2
2015-06-22 14:50:45,7,2
2015-06-22 14:50:46,7,2
2015-06-22 14:50:47,7,2
2015-06-22 14:50:48,6,2
2015-06-22 14:50:49,6,2
2015-06-22 14:50:50,6,2
2015-06-22 14:50:51,6,2
2015-06-22 14:50:52,6,2
2015-06-22 14:50:53,6,2
2015-06-22 14:50:54,6,8
2015-06-22 14:50:55,6,7
2015-06-22 14:50:56,6,7
2015-06-22 14:50:57,2,4
2015-06-22 14:50:58,2,7
2015-06-22 14:50:59,2,7
2015-06-22 14:51:00,2,7
2015-06-22 14:51:01,2,7
2015-06-22 14:51:02,2,7
2015-06-22 14:51:03,4,7
2015-06-22 14:51:04,6,7
2015-06-22 14:51:05,6,6
2015-06-22 14:51:06,6,6
2015-06-22 14:51:07,6,5
2015-06-22 14:51:08,6,5
2015-06-22 14:51:09,4,5
2015-06-22 14:51:10,2,5
2015-06-22 14:51:11,2,8
2015-06-22 14:51:12,2,8
2015-06-22 14:51:13,0,8
2015-06-22 14:51:14,0,8
2015-06-22 14:51:15,0,8
2015-06-22 14:51:16,7,8
2015-06-22 14:51:17,7,4
2015-06-22 14:51:18,0,4
2015-06-22 14:51:19,2,4
2015-06-22 14:51:20,2,8
2015-06-22 14:51:21,2,8
2015-06-22 14:51:22,4,4
2015-06-22 14:51:23,4,4
2015-06-22 14:51:24,4,8
2015-06-22 14:51:25,7,8
2015-06-22 14:51:26,6,7
2015-06-22 14:51:27,6,7
2015-06-22 14:51:28,2,7
2015-06-22 14:51:29,2,7
2015-06-22 14:51:30,2,7
2015-06-22 14:51:31,2,7
2015-06-22 14:51:32,2,7
2015-06-22 14:51:33,3,7
2015-06-22 14:51:34,3,6
2015-06-22 14:51:35,3,5
2015-06-22 14:51:36,3,5
2015-06-22 14:51:37,3,5
2015-06-22 14:51:38,2,5
2015-06-22 14:51:39,2,5
2015-06-22 14:51:40,2,2
2015-06-22 14:51:41,0,5
2015-06-22 14:51:42,0,2
2015-06-22 14:51:43,2,2
2015-06-22 14:51:44,2,2
2015-06-22 14:51:45,2,2
2015-06-22 14:51:46,3,2
2015-06-22 14:51:47,3,2
2015-06-22 14:51:48,3,3
2015-06-22 14:51:49,3,4
2015-06-22 14:51:50,4,4
2015-06-22 14:51:51,2,4
2015-06-22 14:51:52,2,4
2015-06-22 14:51:53,2,4
2015-06-22 14:51:54,2,4
2015-06-22 14:51:55,3,2
2015-06-22 14:51:56,4,2
2015-06-22 14:51:57,4,2
2015-06-22 14:51:58,4,2
2015-06-22 14:51:59,4,2
2015-06-22 14:52:00,4,2
2015-06-22 14:52:01,4,2
2015-06-22 14:52:02,4,2
2015-06-22 14:52:03,2,3
2015-06-22 14:52:04,3,8
2015-06-22 14:52:05,4,8
2015-06-22 14:52:06,4,8
2015-06-22 14:52:07,4,8
2015-06-22 14:52:08,4,8
2015-06-22 14:52:09,4,8
2015-06-22 14:52:10,4,8
2015-06-22 14:52:11,7,7
2015-06-22 14:52:12,7,7
2015-06-22 14:52:13,7,7
2015-06-22 14:52:14,4,4
2015-06-22 14:52:15,4,7
2015-06-22 14:52:16,0,7
2015-06-22 14:52:17,0,7
2015-06-22 14:52:18,0,7
2015-06-22 14:52:19,0,7
2015-06-22 14:52:20,0,7
2015-06-22 14:52:21,0,0
2015-06-22 14:52:22,0,0
2015-06-22 14:52:23,0,0
2015-06-22 14:52:24,0,0
