time,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,2FA454D2-F35D-45D6-BE5D-D848B409B713,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-23 14:46:59,0,0,0,0,0
2015-06-23 14:47:00,2,0,0,0,0
2015-06-23 14:47:01,3,0,0,0,0
2015-06-23 14:47:02,3,0,0,0,0
2015-06-23 14:47:03,3,2,0,0,0
2015-06-23 14:47:04,3,2,1,0,0
2015-06-23 14:47:05,3,5,2,0,0
2015-06-23 14:47:06,3,5,2,2,0
2015-06-23 14:47:07,3,6,2,7,0
2015-06-23 14:47:08,3,6,2,7,0
2015-06-23 14:47:09,3,8,2,7,0
2015-06-23 14:47:10,8,4,2,7,0
2015-06-23 14:47:11,6,3,2,7,0
2015-06-23 14:47:12,6,3,2,4,0
2015-06-23 14:47:13,6,3,2,0,0
2015-06-23 14:47:14,2,1,2,6,0
2015-06-23 14:47:15,4,2,2,6,0
2015-06-23 14:47:16,4,2,2,2,0
2015-06-23 14:47:17,4,2,2,2,0
2015-06-23 14:47:18,4,3,2,6,0
2015-06-23 14:47:19,4,3,2,4,0
2015-06-23 14:47:20,2,3,5,4,0
2015-06-23 14:47:21,2,8,8,4,0
2015-06-23 14:47:22,0,8,8,4,0
2015-06-23 14:47:23,0,6,5,4,0
2015-06-23 14:47:24,6,7,7,6,0
2015-06-23 14:47:25,7,7,5,4,0
2015-06-23 14:47:26,7,7,5,4,4
2015-06-23 14:47:27,7,7,5,2,4
2015-06-23 14:47:28,7,7,5,2,4
2015-06-23 14:47:29,7,4,2,4,4
2015-06-23 14:47:30,7,3,1,4,4
2015-06-23 14:47:31,8,3,1,4,4
2015-06-23 14:47:32,8,3,1,6,4
2015-06-23 14:47:33,7,3,1,6,7
2015-06-23 14:47:34,7,3,1,4,4
2015-06-23 14:47:35,7,1,1,4,7
2015-06-23 14:47:36,4,1,3,4,7
2015-06-23 14:47:37,7,1,3,2,7
2015-06-23 14:47:38,7,1,3,2,4
2015-06-23 14:47:39,7,8,3,2,7
2015-06-23 14:47:40,7,8,4,2,7
2015-06-23 14:47:41,6,8,4,2,4
2015-06-23 14:47:42,6,8,4,2,4
2015-06-23 14:47:43,6,8,7,3,4
2015-06-23 14:47:44,6,8,6,3,4
2015-06-23 14:47:45,6,8,6,3,4
2015-06-23 14:47:46,6,8,6,3,7
2015-06-23 14:47:47,6,8,4,2,7
2015-06-23 14:47:48,6,8,4,4,6
2015-06-23 14:47:49,7,8,3,4,7
2015-06-23 14:47:50,4,7,3,4,4
2015-06-23 14:47:51,4,4,2,4,3
2015-06-23 14:47:52,4,4,4,4,1
2015-06-23 14:47:53,0,4,4,6,1
2015-06-23 14:47:54,3,4,4,6,1
2015-06-23 14:47:55,3,4,4,6,1
2015-06-23 14:47:56,1,7,4,6,1
2015-06-23 14:47:57,8,7,4,4,1
2015-06-23 14:47:58,8,7,4,4,1
2015-06-23 14:47:59,1,7,3,3,1
2015-06-23 14:48:00,1,7,3,3,1
2015-06-23 14:48:01,1,7,1,3,1
2015-06-23 14:48:02,3,7,1,1,3
2015-06-23 14:48:03,3,7,1,8,3
2015-06-23 14:48:04,2,7,1,2,7
2015-06-23 14:48:05,2,7,1,0,6
2015-06-23 14:48:06,2,7,1,2,6
2015-06-23 14:48:07,2,7,3,2,6
2015-06-23 14:48:08,3,7,7,2,6
2015-06-23 14:48:09,4,7,7,2,4
2015-06-23 14:48:10,4,7,7,3,4
2015-06-23 14:48:11,4,7,7,3,4
2015-06-23 14:48:12,4,7,7,3,1
2015-06-23 14:48:13,3,5,7,3,2
2015-06-23 14:48:14,3,5,7,4,2
2015-06-23 14:48:15,4,3,7,4,2
2015-06-23 14:48:16,7,3,7,4,1
2015-06-23 14:48:17,7,3,7,4,1
2015-06-23 14:48:18,4,3,4,4,1
2015-06-23 14:48:19,4,4,4,4,3
2015-06-23 14:48:20,2,6,4,4,3
2015-06-23 14:48:21,2,6,3,4,3
2015-06-23 14:48:22,3,7,3,4,3
2015-06-23 14:48:23,1,7,3,4,3
2015-06-23 14:48:24,1,7,3,4,3
2015-06-23 14:48:25,8,7,3,6,3
2015-06-23 14:48:26,8,7,1,6,3
2015-06-23 14:48:27,8,7,1,6,3
2015-06-23 14:48:28,8,6,1,6,3
2015-06-23 14:48:29,8,7,1,6,3
2015-06-23 14:48:30,3,7,3,6,3
2015-06-23 14:48:31,4,7,3,6,3
2015-06-23 14:48:32,8,7,3,6,3
2015-06-23 14:48:33,3,8,4,6,3
2015-06-23 14:48:34,3,8,4,8,3
2015-06-23 14:48:35,3,3,4,6,3
2015-06-23 14:48:36,3,3,4,4,4
2015-06-23 14:48:37,3,4,4,4,4
2015-06-23 14:48:38,3,7,4,4,4
2015-06-23 14:48:39,2,7,4,0,4
2015-06-23 14:48:40,2,7,4,2,4
2015-06-23 14:48:41,2,7,3,2,4
2015-06-23 14:48:42,1,7,3,2,3
2015-06-23 14:48:43,3,7,3,3,3
2015-06-23 14:48:44,3,7,3,3,3
2015-06-23 14:48:45,3,7,3,3,4
2015-06-23 14:48:46,3,8,3,3,4
2015-06-23 14:48:47,8,8,8,3,3
2015-06-23 14:48:48,7,8,8,3,3
2015-06-23 14:48:49,4,8,3,1,3
2015-06-23 14:48:50,4,8,3,1,1
2015-06-23 14:48:51,8,8,3,1,1
2015-06-23 14:48:52,8,8,3,1,3
2015-06-23 14:48:53,8,8,3,1,3
2015-06-23 14:48:54,7,8,1,1,0
2015-06-23 14:48:55,7,8,1,1,0
2015-06-23 14:48:56,7,8,8,1,0
2015-06-23 14:48:57,7,8,4,1,2
2015-06-23 14:48:58,7,8,4,1,2
2015-06-23 14:48:59,7,8,7,1,2
2015-06-23 14:49:00,7,8,7,1,2
2015-06-23 14:49:01,4,8,7,1,2
2015-06-23 14:49:02,4,8,7,2,2
2015-06-23 14:49:03,4,8,4,3,2
2015-06-23 14:49:04,2,8,4,4,2
2015-06-23 14:49:05,1,8,4,4,2
2015-06-23 14:49:06,1,8,4,4,2
2015-06-23 14:49:07,1,7,7,8,2
2015-06-23 14:49:08,3,4,7,8,2
2015-06-23 14:49:09,3,3,7,8,1
2015-06-23 14:49:10,1,8,7,8,1
2015-06-23 14:49:11,1,3,7,8,1
2015-06-23 14:49:12,3,3,7,8,3
2015-06-23 14:49:13,3,3,7,8,3
2015-06-23 14:49:14,3,3,7,8,3
2015-06-23 14:49:15,7,6,7,8,3
2015-06-23 14:49:16,6,7,4,8,3
2015-06-23 14:49:17,6,7,7,8,2
2015-06-23 14:49:18,7,4,4,3,2
2015-06-23 14:49:19,4,4,3,1,2
2015-06-23 14:49:20,4,3,3,1,2
2015-06-23 14:49:21,3,2,3,1,2
2015-06-23 14:49:22,3,3,3,1,2
2015-06-23 14:49:23,3,3,4,3,1
2015-06-23 14:49:24,3,3,6,3,2
2015-06-23 14:49:25,1,3,7,3,2
2015-06-23 14:49:26,1,3,4,4,8
2015-06-23 14:49:27,1,3,4,4,4
2015-06-23 14:49:28,3,1,4,4,7
2015-06-23 14:49:29,4,1,4,4,7
2015-06-23 14:49:30,4,1,4,4,6
2015-06-23 14:49:31,4,1,4,2,6
2015-06-23 14:49:32,7,1,4,2,6
2015-06-23 14:49:33,7,1,4,1,6
2015-06-23 14:49:34,7,1,4,1,4
2015-06-23 14:49:35,7,1,4,1,3
2015-06-23 14:49:36,8,1,4,1,3
2015-06-23 14:49:37,1,1,3,1,3
2015-06-23 14:49:38,8,1,4,1,3
2015-06-23 14:49:39,8,1,4,1,3
2015-06-23 14:49:40,8,1,4,1,1
2015-06-23 14:49:41,8,1,4,1,1
2015-06-23 14:49:42,8,3,4,3,1
2015-06-23 14:49:43,8,8,4,8,1
2015-06-23 14:49:44,8,4,4,8,1
2015-06-23 14:49:45,8,4,3,8,1
2015-06-23 14:49:46,8,7,3,8,1
2015-06-23 14:49:47,8,7,3,3,3
2015-06-23 14:49:48,8,7,3,3,3
2015-06-23 14:49:49,8,7,3,8,4
2015-06-23 14:49:50,1,7,1,8,4
2015-06-23 14:49:51,8,7,1,3,4
2015-06-23 14:49:52,8,7,1,8,4
2015-06-23 14:49:53,8,3,1,8,4
2015-06-23 14:49:54,8,3,1,8,4
2015-06-23 14:49:55,8,3,1,8,4
2015-06-23 14:49:56,8,3,3,8,4
2015-06-23 14:49:57,7,3,3,8,4
2015-06-23 14:49:58,4,3,2,7,3
2015-06-23 14:49:59,4,8,2,3,3
2015-06-23 14:50:00,4,8,0,8,3
2015-06-23 14:50:01,6,8,2,8,1
2015-06-23 14:50:02,6,8,3,2,1
2015-06-23 14:50:03,7,8,3,2,2
2015-06-23 14:50:04,7,8,3,2,2
2015-06-23 14:50:05,6,8,3,2,2
2015-06-23 14:50:06,6,8,3,2,2
2015-06-23 14:50:07,6,8,3,1,1
2015-06-23 14:50:08,6,7,3,3,1
2015-06-23 14:50:09,6,7,3,3,1
2015-06-23 14:50:10,7,7,3,3,1
2015-06-23 14:50:11,7,7,2,3,1
2015-06-23 14:50:12,4,7,2,3,1
2015-06-23 14:50:13,4,7,2,3,1
2015-06-23 14:50:14,5,7,6,1,1
2015-06-23 14:50:15,1,7,7,1,1
2015-06-23 14:50:16,2,7,7,1,1
2015-06-23 14:50:17,2,4,7,1,1
2015-06-23 14:50:18,2,4,6,1,1
2015-06-23 14:50:19,2,4,7,1,1
2015-06-23 14:50:20,2,4,4,1,1
2015-06-23 14:50:21,2,4,4,1,1
2015-06-23 14:50:22,3,3,3,1,1
2015-06-23 14:50:23,3,3,3,1,1
2015-06-23 14:50:24,1,1,3,1,1
2015-06-23 14:50:25,1,1,1,1,1
2015-06-23 14:50:26,8,1,1,1,1
2015-06-23 14:50:27,8,1,1,1,1
2015-06-23 14:50:28,8,1,3,1,1
2015-06-23 14:50:29,8,1,1,1,1
2015-06-23 14:50:30,8,1,1,1,1
2015-06-23 14:50:31,8,3,1,8,1
2015-06-23 14:50:32,8,6,1,1,1
2015-06-23 14:50:33,8,7,1,1,1
2015-06-23 14:50:34,8,7,1,1,3
2015-06-23 14:50:35,1,7,1,4,3
2015-06-23 14:50:36,3,7,1,4,3
2015-06-23 14:50:37,1,6,1,4,3
2015-06-23 14:50:38,3,5,1,6,3
2015-06-23 14:50:39,1,6,1,6,3
2015-06-23 14:50:40,1,7,1,8,3
2015-06-23 14:50:41,1,7,2,8,3
2015-06-23 14:50:42,1,7,2,8,3
2015-06-23 14:50:43,1,7,2,8,3
2015-06-23 14:50:44,3,7,2,8,3
2015-06-23 14:50:45,2,7,2,8,3
2015-06-23 14:50:46,2,7,1,6,3
2015-06-23 14:50:47,2,7,1,6,3
2015-06-23 14:50:48,2,7,1,7,3
2015-06-23 14:50:49,1,7,1,4,3
2015-06-23 14:50:50,1,5,1,3,3
2015-06-23 14:50:51,1,5,3,1,1
2015-06-23 14:50:52,1,5,8,1,1
2015-06-23 14:50:53,1,5,7,1,1
2015-06-23 14:50:54,1,5,7,1,1
2015-06-23 14:50:55,3,5,7,3,1
2015-06-23 14:50:56,3,5,4,3,1
2015-06-23 14:50:57,7,5,4,3,1
2015-06-23 14:50:58,7,5,3,3,6
2015-06-23 14:50:59,7,5,2,4,5
2015-06-23 14:51:00,7,5,2,4,7
2015-06-23 14:51:01,7,5,2,7,7
2015-06-23 14:51:02,7,5,2,7,7
2015-06-23 14:51:03,7,5,2,7,7
2015-06-23 14:51:04,7,5,2,6,7
2015-06-23 14:51:05,7,5,3,6,7
2015-06-23 14:51:06,7,5,8,2,7
2015-06-23 14:51:07,7,4,8,2,7
2015-06-23 14:51:08,7,8,8,2,7
2015-06-23 14:51:09,7,8,7,2,7
2015-06-23 14:51:10,8,8,7,1,7
2015-06-23 14:51:11,8,8,8,1,7
2015-06-23 14:51:12,8,8,3,1,7
2015-06-23 14:51:13,8,8,3,1,7
2015-06-23 14:51:14,8,7,1,1,7
2015-06-23 14:51:15,8,7,1,1,7
2015-06-23 14:51:16,8,5,3,1,7
2015-06-23 14:51:17,8,5,3,1,7
2015-06-23 14:51:18,8,8,4,1,7
2015-06-23 14:51:19,8,4,4,1,7
2015-06-23 14:51:20,3,4,4,1,7
2015-06-23 14:51:21,4,4,2,3,7
2015-06-23 14:51:22,4,4,2,3,7
2015-06-23 14:51:23,4,4,2,2,6
2015-06-23 14:51:24,4,4,1,2,6
2015-06-23 14:51:25,7,5,1,2,6
2015-06-23 14:51:26,7,5,1,2,4
2015-06-23 14:51:27,7,5,1,2,4
2015-06-23 14:51:28,7,5,1,1,4
2015-06-23 14:51:29,7,5,3,1,6
2015-06-23 14:51:30,7,5,3,1,6
2015-06-23 14:51:31,7,5,4,1,6
2015-06-23 14:51:32,8,5,4,1,6
2015-06-23 14:51:33,8,5,4,1,6
2015-06-23 14:51:34,8,3,4,3,4
2015-06-23 14:51:35,8,3,4,3,3
2015-06-23 14:51:36,8,1,4,4,3
2015-06-23 14:51:37,8,1,4,2,3
2015-06-23 14:51:38,8,1,4,2,3
2015-06-23 14:51:39,8,1,4,3,3
2015-06-23 14:51:40,8,1,4,3,3
2015-06-23 14:51:41,8,1,4,3,7
2015-06-23 14:51:42,8,1,4,1,7
2015-06-23 14:51:43,8,3,4,8,7
2015-06-23 14:51:44,8,3,4,8,7
2015-06-23 14:51:45,1,3,4,8,7
2015-06-23 14:51:46,3,7,4,8,7
2015-06-23 14:51:47,4,7,3,8,6
2015-06-23 14:51:48,4,7,4,1,6
2015-06-23 14:51:49,4,7,3,1,4
2015-06-23 14:51:50,8,7,3,4,4
2015-06-23 14:51:51,3,7,3,4,4
2015-06-23 14:51:52,3,7,3,4,8
2015-06-23 14:51:53,3,7,3,7,8
2015-06-23 14:51:54,3,7,7,7,8
2015-06-23 14:51:55,3,7,7,8,8
2015-06-23 14:51:56,3,7,7,8,8
2015-06-23 14:51:57,3,7,7,8,3
2015-06-23 14:51:58,3,7,7,8,3
2015-06-23 14:51:59,3,7,6,8,3
2015-06-23 14:52:00,3,5,6,3,1
2015-06-23 14:52:01,3,5,6,4,1
2015-06-23 14:52:02,3,5,7,4,1
2015-06-23 14:52:03,3,7,7,2,1
2015-06-23 14:52:04,3,5,7,1,1
2015-06-23 14:52:05,3,5,4,2,1
2015-06-23 14:52:06,3,5,7,1,1
2015-06-23 14:52:07,3,5,8,1,1
2015-06-23 14:52:08,3,5,4,1,1
2015-06-23 14:52:09,3,5,4,1,1
2015-06-23 14:52:10,3,5,4,1,1
2015-06-23 14:52:11,3,7,4,1,3
2015-06-23 14:52:12,1,5,4,1,3
2015-06-23 14:52:13,1,5,4,3,4
2015-06-23 14:52:14,3,3,4,2,4
2015-06-23 14:52:15,3,8,7,2,4
2015-06-23 14:52:16,3,4,7,2,4
2015-06-23 14:52:17,3,3,7,8,4
2015-06-23 14:52:18,3,3,6,4,4
2015-06-23 14:52:19,4,3,4,4,5
2015-06-23 14:52:20,4,1,7,4,7
2015-06-23 14:52:21,4,1,6,6,7
2015-06-23 14:52:22,4,1,6,4,7
2015-06-23 14:52:23,4,1,4,4,4
2015-06-23 14:52:24,4,1,3,4,3
2015-06-23 14:52:25,4,5,3,2,3
2015-06-23 14:52:26,4,5,3,4,1
2015-06-23 14:52:27,4,5,1,4,1
2015-06-23 14:52:28,3,5,3,3,1
2015-06-23 14:52:29,3,5,3,3,1
2015-06-23 14:52:30,3,5,3,3,1
2015-06-23 14:52:31,3,5,3,3,1
2015-06-23 14:52:32,3,5,8,3,3
2015-06-23 14:52:33,3,5,1,3,3
2015-06-23 14:52:34,3,6,1,3,3
2015-06-23 14:52:35,4,4,1,4,1
2015-06-23 14:52:36,8,7,1,4,3
2015-06-23 14:52:37,8,7,1,6,1
2015-06-23 14:52:38,8,7,1,8,1
2015-06-23 14:52:39,7,7,1,8,1
2015-06-23 14:52:40,7,7,1,8,1
2015-06-23 14:52:41,7,8,1,6,1
2015-06-23 14:52:42,7,7,1,6,1
2015-06-23 14:52:43,8,8,1,4,1
2015-06-23 14:52:44,3,3,1,4,1
2015-06-23 14:52:45,3,3,1,4,1
2015-06-23 14:52:46,3,3,1,2,3
2015-06-23 14:52:47,3,3,1,2,1
2015-06-23 14:52:48,3,3,1,2,1
2015-06-23 14:52:49,3,3,1,1,3
2015-06-23 14:52:50,2,3,1,1,3
2015-06-23 14:52:51,2,3,1,1,3
2015-06-23 14:52:52,2,5,1,1,3
2015-06-23 14:52:53,3,5,1,1,3
2015-06-23 14:52:54,3,5,2,1,4
2015-06-23 14:52:55,3,5,2,1,4
2015-06-23 14:52:56,3,5,2,1,8
2015-06-23 14:52:57,3,5,2,1,8
2015-06-23 14:52:58,3,3,2,1,8
2015-06-23 14:52:59,3,2,2,1,8
2015-06-23 14:53:00,4,1,2,2,8
2015-06-23 14:53:01,4,1,2,2,8
2015-06-23 14:53:02,4,3,2,1,8
2015-06-23 14:53:03,4,3,1,1,8
2015-06-23 14:53:04,4,3,1,1,8
2015-06-23 14:53:05,4,3,1,1,8
2015-06-23 14:53:06,4,3,1,1,8
2015-06-23 14:53:07,4,3,1,1,8
2015-06-23 14:53:08,4,3,3,1,8
2015-06-23 14:53:09,7,3,3,2,8
2015-06-23 14:53:10,7,3,3,3,8
2015-06-23 14:53:11,7,3,3,4,8
2015-06-23 14:53:12,7,1,1,4,8
2015-06-23 14:53:13,7,3,2,4,8
2015-06-23 14:53:14,7,3,2,4,8
2015-06-23 14:53:15,3,5,2,4,8
2015-06-23 14:53:16,3,5,2,3,8
2015-06-23 14:53:17,1,5,2,3,6
2015-06-23 14:53:18,1,2,2,3,7
2015-06-23 14:53:19,1,2,2,1,4
2015-06-23 14:53:20,1,5,2,2,6
2015-06-23 14:53:21,1,8,2,2,3
2015-06-23 14:53:22,1,8,2,2,0
2015-06-23 14:53:23,1,8,2,2,2
2015-06-23 14:53:24,1,7,2,2,6
2015-06-23 14:53:25,1,6,2,1,6
2015-06-23 14:53:26,1,6,2,1,7
2015-06-23 14:53:27,1,6,2,1,7
2015-06-23 14:53:28,1,5,2,2,7
2015-06-23 14:53:29,1,5,2,2,7
2015-06-23 14:53:30,1,5,2,2,7
2015-06-23 14:53:31,1,5,2,2,7
2015-06-23 14:53:32,1,3,2,2,7
2015-06-23 14:53:33,3,5,2,2,7
2015-06-23 14:53:34,2,1,1,2,4
2015-06-23 14:53:35,2,2,1,2,3
2015-06-23 14:53:36,2,2,1,2,3
2015-06-23 14:53:37,2,2,1,2,3
2015-06-23 14:53:38,2,2,1,2,3
2015-06-23 14:53:39,2,2,2,2,3
2015-06-23 14:53:40,2,2,0,2,3
2015-06-23 14:53:41,2,3,0,2,3
2015-06-23 14:53:42,2,3,2,2,3
2015-06-23 14:53:43,2,3,2,2,3
2015-06-23 14:53:44,2,3,2,2,3
2015-06-23 14:53:45,2,3,1,2,3
2015-06-23 14:53:46,2,3,1,0,3
2015-06-23 14:53:47,1,3,1,2,4
2015-06-23 14:53:48,1,3,1,2,5
2015-06-23 14:53:49,2,3,1,2,5
2015-06-23 14:53:50,2,8,0,2,5
2015-06-23 14:53:51,2,7,6,1,1
2015-06-23 14:53:52,2,5,6,1,1
2015-06-23 14:53:53,2,5,6,1,1
2015-06-23 14:53:54,2,6,6,1,1
2015-06-23 14:53:55,2,7,6,1,8
2015-06-23 14:53:56,2,6,6,1,8
2015-06-23 14:53:57,2,6,2,1,8
2015-06-23 14:53:58,1,7,2,2,1
2015-06-23 14:53:59,1,7,2,2,1
2015-06-23 14:54:00,1,7,2,2,1
2015-06-23 14:54:01,1,5,2,0,1
2015-06-23 14:54:02,1,5,2,0,1
2015-06-23 14:54:03,3,5,1,2,1
2015-06-23 14:54:04,3,5,3,4,1
2015-06-23 14:54:05,3,2,3,3,1
2015-06-23 14:54:06,3,2,4,3,1
2015-06-23 14:54:07,8,1,4,1,1
2015-06-23 14:54:08,8,3,6,1,1
2015-06-23 14:54:09,6,3,6,1,2
2015-06-23 14:54:10,6,1,7,1,0
2015-06-23 14:54:11,7,1,7,3,0
