time,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,9A5116EA-2793-4C75-AC93-524C9EF550FD,2FA454D2-F35D-45D6-BE5D-D848B409B713,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-06-23 15:00:11,0,0,0,0,0
2015-06-23 15:00:12,2,0,0,0,0
2015-06-23 15:00:13,2,0,0,0,0
2015-06-23 15:00:14,2,2,0,0,0
2015-06-23 15:00:15,2,2,2,0,0
2015-06-23 15:00:16,2,2,2,0,0
2015-06-23 15:00:17,2,2,2,1,0
2015-06-23 15:00:18,0,2,2,2,0
2015-06-23 15:00:19,0,3,2,2,0
2015-06-23 15:00:20,3,3,0,2,2
2015-06-23 15:00:21,1,3,2,2,2
2015-06-23 15:00:22,1,3,2,2,2
2015-06-23 15:00:23,8,3,1,2,1
2015-06-23 15:00:24,8,3,3,2,1
2015-06-23 15:00:25,8,1,3,2,1
2015-06-23 15:00:26,8,1,3,3,1
2015-06-23 15:00:27,8,1,3,3,3
2015-06-23 15:00:28,8,1,3,3,3
2015-06-23 15:00:29,8,3,2,3,3
2015-06-23 15:00:30,8,3,2,3,3
2015-06-23 15:00:31,8,3,2,2,4
2015-06-23 15:00:32,8,1,2,2,3
2015-06-23 15:00:33,8,3,2,2,1
2015-06-23 15:00:34,8,3,0,2,8
2015-06-23 15:00:35,8,3,0,2,8
2015-06-23 15:00:36,8,4,0,2,8
2015-06-23 15:00:37,8,4,0,2,8
2015-06-23 15:00:38,1,7,0,2,8
2015-06-23 15:00:39,8,3,0,2,8
2015-06-23 15:00:40,3,4,0,2,8
2015-06-23 15:00:41,1,7,2,2,1
2015-06-23 15:00:42,1,8,2,1,1
2015-06-23 15:00:43,1,8,2,1,1
2015-06-23 15:00:44,1,8,2,1,3
2015-06-23 15:00:45,1,8,2,1,1
2015-06-23 15:00:46,1,8,2,3,1
2015-06-23 15:00:47,3,8,2,3,1
2015-06-23 15:00:48,3,8,2,2,1
2015-06-23 15:00:49,3,8,2,2,1
2015-06-23 15:00:50,3,8,2,2,1
2015-06-23 15:00:51,3,4,3,2,4
2015-06-23 15:00:52,1,4,4,2,7
2015-06-23 15:00:53,1,4,4,5,7
2015-06-23 15:00:54,1,4,4,1,7
2015-06-23 15:00:55,1,4,4,3,3
2015-06-23 15:00:56,1,4,3,4,3
2015-06-23 15:00:57,1,3,4,4,3
2015-06-23 15:00:58,1,4,4,4,3
2015-06-23 15:00:59,1,4,7,7,3
2015-06-23 15:01:00,1,4,6,7,3
2015-06-23 15:01:01,1,7,7,4,4
2015-06-23 15:01:02,1,4,7,4,7
2015-06-23 15:01:03,3,4,7,4,4
2015-06-23 15:01:04,3,3,7,2,3
2015-06-23 15:01:05,3,3,7,4,1
2015-06-23 15:01:06,2,3,7,4,1
2015-06-23 15:01:07,2,3,6,4,1
2015-06-23 15:01:08,3,3,4,4,1
2015-06-23 15:01:09,1,3,3,4,1
2015-06-23 15:01:10,1,4,3,4,3
2015-06-23 15:01:11,1,4,3,3,8
2015-06-23 15:01:12,1,7,3,3,8
2015-06-23 15:01:13,3,4,1,3,8
2015-06-23 15:01:14,1,4,1,1,8
2015-06-23 15:01:15,3,4,1,1,4
2015-06-23 15:01:16,4,2,1,1,3
2015-06-23 15:01:17,4,2,1,1,3
2015-06-23 15:01:18,4,2,1,1,1
2015-06-23 15:01:19,4,2,2,1,1
2015-06-23 15:01:20,3,2,2,1,1
2015-06-23 15:01:21,3,2,2,2,8
2015-06-23 15:01:22,3,3,2,3,8
2015-06-23 15:01:23,1,2,2,3,8
2015-06-23 15:01:24,1,2,2,3,8
2015-06-23 15:01:25,1,2,2,1,8
2015-06-23 15:01:26,1,2,2,1,8
2015-06-23 15:01:27,1,2,2,2,8
2015-06-23 15:01:28,1,2,2,1,8
2015-06-23 15:01:29,1,2,2,2,1
2015-06-23 15:01:30,1,3,2,2,1
2015-06-23 15:01:31,3,3,2,2,1
2015-06-23 15:01:32,3,3,2,2,1
2015-06-23 15:01:33,3,3,2,2,1
2015-06-23 15:01:34,3,3,2,1,1
2015-06-23 15:01:35,1,3,3,1,1
2015-06-23 15:01:36,1,3,3,1,1
2015-06-23 15:01:37,1,3,3,1,1
2015-06-23 15:01:38,3,3,8,3,1
2015-06-23 15:01:39,4,4,4,1,1
2015-06-23 15:01:40,4,4,8,3,8
2015-06-23 15:01:41,4,3,4,3,1
2015-06-23 15:01:42,4,4,4,3,1
2015-06-23 15:01:43,4,3,4,2,1
2015-06-23 15:01:44,4,4,4,2,1
2015-06-23 15:01:45,4,8,4,1,1
2015-06-23 15:01:46,4,7,2,1,1
2015-06-23 15:01:47,7,7,2,1,1
2015-06-23 15:01:48,4,7,2,1,7
2015-06-23 15:01:49,4,7,2,1,7
2015-06-23 15:01:50,4,7,2,1,7
2015-06-23 15:01:51,4,7,2,2,7
2015-06-23 15:01:52,4,7,2,1,7
2015-06-23 15:01:53,6,8,2,3,7
2015-06-23 15:01:54,6,8,2,3,7
2015-06-23 15:01:55,6,3,2,1,6
2015-06-23 15:01:56,7,3,2,3,6
2015-06-23 15:01:57,7,3,2,3,6
2015-06-23 15:01:58,7,3,3,3,6
2015-06-23 15:01:59,7,3,4,3,6
2015-06-23 15:02:00,7,4,4,8,6
2015-06-23 15:02:01,7,8,4,8,7
2015-06-23 15:02:02,7,8,7,8,4
2015-06-23 15:02:03,6,8,4,2,1
2015-06-23 15:02:04,4,8,4,2,1
2015-06-23 15:02:05,4,8,4,2,1
2015-06-23 15:02:06,4,3,2,2,1
2015-06-23 15:02:07,4,8,2,1,1
2015-06-23 15:02:08,7,7,3,1,1
2015-06-23 15:02:09,7,7,3,1,1
