time,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,2FA454D2-F35D-45D6-BE5D-D848B409B713,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-06-23 15:10:44,0,0,0,0,0
2015-06-23 15:10:45,2,2,2,0,0
2015-06-23 15:10:46,2,2,4,0,0
2015-06-23 15:10:47,2,2,4,2,0
2015-06-23 15:10:48,2,2,4,2,0
2015-06-23 15:10:49,3,2,4,2,0
2015-06-23 15:10:50,1,2,4,4,0
2015-06-23 15:10:51,1,2,3,4,2
2015-06-23 15:10:52,1,2,1,4,6
2015-06-23 15:10:53,1,0,1,4,7
2015-06-23 15:10:54,1,4,1,4,8
2015-06-23 15:10:55,3,4,1,4,8
2015-06-23 15:10:56,8,4,4,7,8
2015-06-23 15:10:57,8,4,7,7,3
2015-06-23 15:10:58,8,4,7,8,3
2015-06-23 15:10:59,8,4,3,4,3
2015-06-23 15:11:00,8,7,1,4,3
2015-06-23 15:11:01,8,4,1,4,3
2015-06-23 15:11:02,3,4,1,4,8
2015-06-23 15:11:03,3,4,1,0,2
2015-06-23 15:11:04,1,4,1,0,2
2015-06-23 15:11:05,1,4,7,0,2
2015-06-23 15:11:06,1,4,3,2,2
2015-06-23 15:11:07,3,3,3,2,2
2015-06-23 15:11:08,3,2,1,2,2
2015-06-23 15:11:09,3,2,1,2,2
2015-06-23 15:11:10,3,2,1,2,2
2015-06-23 15:11:11,1,1,1,2,2
2015-06-23 15:11:12,1,1,3,2,2
2015-06-23 15:11:13,1,3,7,2,2
2015-06-23 15:11:14,1,3,7,2,2
2015-06-23 15:11:15,1,3,7,2,2
2015-06-23 15:11:16,1,3,7,2,2
2015-06-23 15:11:17,3,3,7,2,2
2015-06-23 15:11:18,1,2,5,2,2
2015-06-23 15:11:19,1,2,7,2,2
2015-06-23 15:11:20,1,2,4,2,2
2015-06-23 15:11:21,1,2,4,2,2
2015-06-23 15:11:22,1,2,7,2,2
2015-06-23 15:11:23,1,2,7,2,2
2015-06-23 15:11:24,3,2,8,2,2
2015-06-23 15:11:25,4,2,8,2,2
2015-06-23 15:11:26,4,2,3,2,2
2015-06-23 15:11:27,4,2,1,2,2
2015-06-23 15:11:28,4,2,1,2,2
2015-06-23 15:11:29,4,2,1,2,2
2015-06-23 15:11:30,4,2,3,2,2
2015-06-23 15:11:31,4,2,4,2,2
2015-06-23 15:11:32,4,2,8,2,2
2015-06-23 15:11:33,4,2,5,2,2
2015-06-23 15:11:34,4,2,7,2,2
2015-06-23 15:11:35,4,2,5,2,2
2015-06-23 15:11:36,4,2,8,2,2
2015-06-23 15:11:37,4,2,1,2,2
2015-06-23 15:11:38,4,2,1,2,2
2015-06-23 15:11:39,3,2,1,2,2
2015-06-23 15:11:40,3,2,1,2,2
2015-06-23 15:11:41,3,2,1,2,1
2015-06-23 15:11:42,3,2,1,2,3
2015-06-23 15:11:43,3,3,1,2,3
2015-06-23 15:11:44,3,3,1,2,4
2015-06-23 15:11:45,3,4,1,2,4
2015-06-23 15:11:46,3,4,1,2,7
2015-06-23 15:11:47,3,7,1,2,4
2015-06-23 15:11:48,3,4,1,2,4
2015-06-23 15:11:49,3,8,1,2,3
2015-06-23 15:11:50,3,8,1,2,2
2015-06-23 15:11:51,3,8,1,2,2
2015-06-23 15:11:52,3,2,1,2,2
2015-06-23 15:11:53,3,2,1,2,2
2015-06-23 15:11:54,3,1,1,2,2
2015-06-23 15:11:55,3,3,1,2,2
2015-06-23 15:11:56,3,3,1,2,1
2015-06-23 15:11:57,3,3,1,2,1
2015-06-23 15:11:58,3,3,1,2,3
2015-06-23 15:11:59,3,3,1,1,3
2015-06-23 15:12:00,3,8,1,2,3
2015-06-23 15:12:01,3,4,3,1,4
2015-06-23 15:12:02,3,4,3,3,4
2015-06-23 15:12:03,3,7,1,3,4
2015-06-23 15:12:04,3,6,3,2,2
2015-06-23 15:12:05,3,6,8,2,2
2015-06-23 15:12:06,3,4,8,2,2
2015-06-23 15:12:07,3,4,8,2,2
2015-06-23 15:12:08,3,4,8,2,2
2015-06-23 15:12:09,3,3,8,2,2
2015-06-23 15:12:10,3,3,8,3,2
2015-06-23 15:12:11,3,3,8,3,2
2015-06-23 15:12:12,3,4,8,3,2
2015-06-23 15:12:13,3,4,7,3,2
2015-06-23 15:12:14,3,4,7,3,2
2015-06-23 15:12:15,3,4,7,1,0
2015-06-23 15:12:16,3,4,7,1,0
2015-06-23 15:12:17,3,4,7,3,0
2015-06-23 15:12:18,3,4,7,3,0
2015-06-23 15:12:19,2,4,7,3,0
2015-06-23 15:12:20,2,7,7,7,0
2015-06-23 15:12:21,2,7,7,8,0
2015-06-23 15:12:22,2,4,7,8,0
2015-06-23 15:12:23,2,4,7,8,0
2015-06-23 15:12:24,2,4,7,8,0
2015-06-23 15:12:25,2,4,7,8,0
2015-06-23 15:12:26,2,4,5,8,0
2015-06-23 15:12:27,2,4,5,8,0
2015-06-23 15:12:28,2,4,7,8,2
2015-06-23 15:12:29,2,3,5,8,2
2015-06-23 15:12:30,2,0,5,8,2
2015-06-23 15:12:31,2,2,7,8,2
2015-06-23 15:12:32,2,2,7,8,2
2015-06-23 15:12:33,3,2,7,8,2
2015-06-23 15:12:34,3,2,7,7,2
2015-06-23 15:12:35,3,4,7,7,2
2015-06-23 15:12:36,3,4,7,7,2
2015-06-23 15:12:37,2,4,8,5,2
2015-06-23 15:12:38,2,4,3,2,2
2015-06-23 15:12:39,2,4,3,0,2
2015-06-23 15:12:40,2,3,1,0,2
2015-06-23 15:12:41,2,3,1,0,2
2015-06-23 15:12:42,2,1,1,0,2
2015-06-23 15:12:43,2,3,1,2,2
2015-06-23 15:12:44,2,3,3,2,2
2015-06-23 15:12:45,2,3,3,3,2
2015-06-23 15:12:46,2,8,1,3,2
2015-06-23 15:12:47,2,8,1,3,2
2015-06-23 15:12:48,2,3,3,3,2
2015-06-23 15:12:49,2,3,3,3,2
2015-06-23 15:12:50,2,3,3,1,2
2015-06-23 15:12:51,2,3,3,2,2
2015-06-23 15:12:52,3,3,3,2,2
2015-06-23 15:12:53,3,3,3,1,2
2015-06-23 15:12:54,3,7,3,1,2
2015-06-23 15:12:55,3,7,3,3,2
2015-06-23 15:12:56,3,7,3,3,2
2015-06-23 15:12:57,3,7,5,3,2
2015-06-23 15:12:58,3,6,3,2,2
2015-06-23 15:12:59,2,8,1,2,2
2015-06-23 15:13:00,2,8,1,2,2
2015-06-23 15:13:01,2,8,1,2,2
2015-06-23 15:13:02,2,8,1,2,2
2015-06-23 15:13:03,2,8,1,2,2
2015-06-23 15:13:04,2,6,1,2,2
2015-06-23 15:13:05,3,6,1,2,1
2015-06-23 15:13:06,3,6,1,2,2
2015-06-23 15:13:07,3,7,3,2,2
2015-06-23 15:13:08,2,7,3,2,2
2015-06-23 15:13:09,2,8,3,2,2
2015-06-23 15:13:10,2,8,3,2,2
2015-06-23 15:13:11,2,8,1,2,2
2015-06-23 15:13:12,2,7,3,2,2
2015-06-23 15:13:13,2,7,3,2,2
2015-06-23 15:13:14,2,4,3,2,2
2015-06-23 15:13:15,2,4,3,2,2
2015-06-23 15:13:16,2,4,3,2,2
2015-06-23 15:13:17,2,2,3,2,2
2015-06-23 15:13:18,2,2,1,2,2
2015-06-23 15:13:19,2,2,1,1,1
2015-06-23 15:13:20,3,2,1,1,1
2015-06-23 15:13:21,3,2,1,3,1
2015-06-23 15:13:22,3,2,1,2,1
2015-06-23 15:13:23,3,2,1,2,1
2015-06-23 15:13:24,2,2,1,3,2
2015-06-23 15:13:25,2,2,1,0,2
2015-06-23 15:13:26,2,2,1,0,2
2015-06-23 15:13:27,2,2,2,0,2
2015-06-23 15:13:28,2,2,2,0,2
2015-06-23 15:13:29,2,2,2,0,2
2015-06-23 15:13:30,2,2,2,8,2
2015-06-23 15:13:31,2,2,2,1,2
2015-06-23 15:13:32,2,2,2,3,2
2015-06-23 15:13:33,2,2,2,1,2
2015-06-23 15:13:34,2,2,2,1,2
2015-06-23 15:13:35,2,2,2,2,2
2015-06-23 15:13:36,2,2,2,2,2
2015-06-23 15:13:37,2,2,2,2,2
2015-06-23 15:13:38,2,2,2,2,2
2015-06-23 15:13:39,2,2,2,2,2
2015-06-23 15:13:40,2,2,2,2,2
2015-06-23 15:13:41,2,2,2,2,2
2015-06-23 15:13:42,2,2,2,2,2
2015-06-23 15:13:43,2,2,2,2,2
2015-06-23 15:13:44,2,2,2,1,2
2015-06-23 15:13:45,8,2,2,1,2
2015-06-23 15:13:46,8,2,2,1,2
2015-06-23 15:13:47,8,2,2,3,2
2015-06-23 15:13:48,8,2,2,3,2
2015-06-23 15:13:49,8,2,2,2,2
2015-06-23 15:13:50,8,2,2,2,2
2015-06-23 15:13:51,8,2,2,8,2
2015-06-23 15:13:52,3,2,2,8,2
2015-06-23 15:13:53,3,2,2,2,2
2015-06-23 15:13:54,4,2,2,2,2
2015-06-23 15:13:55,4,2,1,2,2
2015-06-23 15:13:56,4,2,1,2,2
2015-06-23 15:13:57,4,2,3,2,2
2015-06-23 15:13:58,4,2,8,2,2
2015-06-23 15:13:59,4,2,8,1,2
2015-06-23 15:14:00,4,1,8,2,2
2015-06-23 15:14:01,4,3,8,1,3
2015-06-23 15:14:02,4,3,4,1,3
2015-06-23 15:14:03,4,3,4,2,3
2015-06-23 15:14:04,4,3,4,2,3
2015-06-23 15:14:05,4,3,4,3,4
2015-06-23 15:14:06,4,4,7,3,4
2015-06-23 15:14:07,4,4,3,8,7
2015-06-23 15:14:08,4,4,3,3,7
2015-06-23 15:14:09,4,4,3,3,6
2015-06-23 15:14:10,4,7,3,3,6
2015-06-23 15:14:11,4,7,3,3,7
2015-06-23 15:14:12,4,6,3,3,4
2015-06-23 15:14:13,4,6,2,3,4
2015-06-23 15:14:14,4,6,2,3,2
2015-06-23 15:14:15,4,6,2,3,0
