time,charles,yvonne,christina,jonathan
2014-08-24 15:56:07,0,0,0,0
2014-08-24 15:56:08,2,0,0,0
2014-08-24 15:56:09,2,0,0,0
2014-08-24 15:56:10,2,0,0,0
2014-08-24 15:56:11,2,0,0,0
2014-08-24 15:56:12,2,0,0,0
2014-08-24 15:56:13,2,0,0,0
2014-08-24 15:56:14,4,0,0,0
2014-08-24 15:56:15,4,0,0,0
2014-08-24 15:56:16,4,0,0,0
2014-08-24 15:56:17,7,0,0,0
2014-08-24 15:56:18,7,0,0,0
2014-08-24 15:56:19,4,2,0,0
2014-08-24 15:56:20,4,3,0,0
2014-08-24 15:56:21,4,3,0,0
2014-08-24 15:56:22,3,3,0,0
2014-08-24 15:56:23,3,3,0,0
2014-08-24 15:56:24,3,3,2,0
2014-08-24 15:56:25,2,4,2,0
2014-08-24 15:56:26,2,3,2,0
2014-08-24 15:56:27,2,0,2,0
2014-08-24 15:56:28,0,0,3,0
2014-08-24 15:56:29,0,0,4,0
2014-08-24 15:56:30,2,0,4,0
2014-08-24 15:56:31,2,0,4,0
2014-08-24 15:56:32,2,2,7,0
2014-08-24 15:56:33,3,2,7,0
2014-08-24 15:56:34,3,2,7,0
2014-08-24 15:56:35,3,2,7,0
2014-08-24 15:56:36,3,2,8,0
2014-08-24 15:56:37,1,2,8,0
2014-08-24 15:56:38,3,2,4,0
2014-08-24 15:56:39,1,0,2,0
2014-08-24 15:56:40,3,5,2,0
2014-08-24 15:56:41,3,4,2,0
2014-08-24 15:56:42,3,4,2,0
2014-08-24 15:56:43,2,7,2,0
2014-08-24 15:56:44,0,6,2,0
2014-08-24 15:56:45,0,6,1,0
2014-08-24 15:56:46,0,6,0,0
2014-08-24 15:56:47,0,6,2,0
2014-08-24 15:56:48,0,7,2,0
2014-08-24 15:56:49,0,7,2,0
2014-08-24 15:56:50,4,7,2,0
2014-08-24 15:56:51,4,4,4,0
2014-08-24 15:56:52,4,3,4,0
2014-08-24 15:56:53,4,3,7,0
2014-08-24 15:56:54,4,3,4,0
2014-08-24 15:56:55,4,3,4,0
2014-08-24 15:56:56,4,3,4,0
2014-08-24 15:56:57,4,4,4,0
2014-08-24 15:56:58,4,4,8,0
2014-08-24 15:56:59,4,0,7,0
2014-08-24 15:57:00,4,0,7,0
2014-08-24 15:57:01,4,0,7,0
2014-08-24 15:57:02,4,0,7,0
2014-08-24 15:57:03,3,0,7,0
2014-08-24 15:57:04,3,0,7,0
2014-08-24 15:57:05,1,0,7,0
2014-08-24 15:57:06,1,0,7,0
2014-08-24 15:57:07,1,0,7,0
2014-08-24 15:57:08,1,0,7,0
2014-08-24 15:57:09,1,0,7,0
2014-08-24 15:57:10,1,0,6,0
2014-08-24 15:57:11,1,0,7,0
2014-08-24 15:57:12,1,0,7,0
2014-08-24 15:57:13,3,0,7,0
2014-08-24 15:57:14,1,0,4,0
2014-08-24 15:57:15,1,0,8,0
2014-08-24 15:57:16,2,0,8,0
2014-08-24 15:57:17,1,0,7,0
2014-08-24 15:57:18,1,0,7,0
