time,filename,number_performers,performance_context,performance_type,instruments,notes,video_location
2013-04-20 14:58:52.253862,2013-04-20T14-55-00-MetatoneOSCLog,3,rehearsal,improvisation,iPad,"ensemble metatone listening space creative music making session - no yvonne (first recording, log didn’t work)",
2013-04-21 11:47:12.012029,2013-04-21T11-38-00-MetatoneOSCLog,3,rehearsal,improvisation,iPad,ensemble metatone listening space creative music making session - no jonathan,
2013-04-27 17:46:19.247639,2013-04-27T17-29-00-MetatoneOSCLog,4,rehearsal,improvisation,iPad,ensemble metatone listening space creative music making session - quartet iPads only,
2013-05-04 13:21:47.643029,2013-05-04T12-12-00-MetatoneOSCLog,4,rehearsal,improvisation,percussion,ensemble metatone listening space creative music making session - set 1 with instruments,
2013-05-04 14:24:20.557930,2013-05-04T14-23-00-MetatoneOSCLog,4,rehearsal,improvisation,percussion,ensemble metatone listening space creative music making session - set 2 with instruments,
2013-07-01 17:21:05.923165,2013-07-01T17-20-46-MetatoneOSCLog,1,data_collection,improvisation,iPad,original CPM gesture collecting session,
2013-08-03 17:11:01.880154,2013-08-03T17-10-17-MetatoneOSCLog,4,rehearsal,improvisation,iPad,research-concert rehearsal - metalonsdale (ipads only),
2013-08-03 17:25:33.070618,2013-08-03T17-25-19-MetatoneOSCLog,4,rehearsal,improvisation,percussion,research-concert rehearsal - metatravels (ipads and percussion),
2013-08-03 18:38:11.525770,2013-08-03T18-37-03-MetatoneOSCLog,4,performance,improvisation,iPad,research-concert performance - metalonsdale (ipads only),
2013-08-03 18:52:58.895308,2013-08-03T18-49-35-MetatoneOSCLog,4,performance,improvisation,percussion,research-concert performance - metatravels (ipads and percussion),
2014-03-08 11:49:43.577878,2014-03-08T11-49-15-MetatoneOSCLog,3,rehearsal,composition,iPad,"Metatone - Singing Bowls, study in bowls rehearsal (jonathan, christina, charles)",
2014-03-08 12:15:26.338137,2014-03-08T12-14-57-MetatoneOSCLog,3,rehearsal,composition,iPad,"Metatone - Singing Bowls, study in bowls rehearsal (jonathan, christina, charles)",
2014-03-08 12:21:42.962257,2014-03-08T12-21-29-MetatoneOSCLog,3,rehearsal,composition,iPad,"Metatone - Singing Bowls, study in bowls rehearsal (jonathan, christina, charles)",
2014-03-13 15:28:35.816670,2014-03-13T15-28-14-MetatoneOSCLog,2,rehearsal,,,Metatone Duo (JG+CPM) rehearsal,
2014-03-13 16:11:35.430258,2014-03-13T16-11-33-MetatoneOSCLog,2,rehearsal,,,Metatone Duo (JG+CPM) rehearsal,
2014-03-15 12:34:09.717704,2014-03-15T12-33-18-MetatoneOSCLog,6,rehearsal,,,YAH Rehearsal,
2014-03-15 12:55:30.111237,2014-03-15T12-55-15-MetatoneOSCLog,7,rehearsal,,,YAH Rehearsal,
2014-03-15 13:19:37.033622,2014-03-15T13-19-15-MetatoneOSCLog,9,rehearsal,,,YAH Rehearsal,
